"","Date","Rainfall_Settefrati","Temperature_Settefrati","Flow_Rate_Madonna_di_Canneto"
"1",2015-03-13,0,5.7,255.956525
"2",2015-03-14,5.8,7.1,289.5455614
"3",2015-03-15,7.4,4.9,289.9186152
"4",2015-03-16,8.6,7.5,290.0828956
"5",2015-03-17,7.6,7.55,290.6887766
"6",2015-03-18,0,8.4,285.417723
"7",2015-03-19,0,9.75,282.2443597
"8",2015-03-20,0,8.7,283.4899183
"9",2015-03-21,0,7.95,283.9203937
"10",2015-03-22,0.8,6.55,284.3272472
"11",2015-03-23,0,9.15,284.5879713
"12",2015-03-24,0,12.15,284.1688699
"13",2015-03-25,37.3,10.25,282.4008892
"14",2015-03-26,6,13.35,275.9375031
"15",2015-03-27,10.8,12,273.9198491
"16",2015-03-28,0,9.5,273.939755
"17",2015-03-29,0,9.6,273.6624202
"18",2015-03-30,0,10.6,278.0547162
"19",2015-03-31,0,13.35,276.8946238
"20",2015-04-01,0,12.05,275.0547686
"21",2015-04-02,0,11,273.9272583
"22",2015-04-03,0,9.45,273.877707
"23",2015-04-04,12.3,7.65,273.9227575
"24",2015-04-05,9.2,5.85,273.5561175
"25",2015-04-06,0,5.3,273.8512721
"26",2015-04-07,0,3.9,273.6301476
"27",2015-04-08,0,5.8,273.4032263
"28",2015-04-09,0,9.35,261.8903418
"29",2015-04-10,0,10.8,277.0050769
"30",2015-04-11,0,10.45,276.7164202
"31",2015-04-12,0,11.7,276.891222
"32",2015-04-13,0,13.75,276.8846717
"33",2015-04-14,0.4,14.6,274.9528374
"34",2015-04-15,0,15.25,273.6325181
"35",2015-04-16,0,14.9,273.6284511
"36",2015-04-17,0.2,14.35,273.8138785
"37",2015-04-18,0,12.8,273.90091
"38",2015-04-19,1.4,13.25,274.1168694
"39",2015-04-20,0.2,11.8,274.1432099
"40",2015-04-21,0,12.5,273.9929837
"41",2015-04-22,0,14.6,274.1490757
"42",2015-04-23,0,14.1,274.2687412
"43",2015-04-24,0.2,14.9,274.1271984
"44",2015-04-25,0.6,14.15,274.2048533
"45",2015-04-26,0,14.95,274.2385741
"46",2015-04-27,14,11.95,274.2566337
"47",2015-04-28,8.2,10.2,274.1222673
"48",2015-04-29,8.2,12.1,274.3879241
"49",2015-04-30,18.8,11.4,274.4474021
"50",2015-05-01,0,12.4,274.5162938
"51",2015-05-02,0,14.5,274.5120852
"52",2015-05-03,0,15.7,274.5641337
"53",2015-05-04,0,19.6,274.6890818
"54",2015-05-05,0,21.8,274.6811391
"55",2015-05-06,0.2,22.85,274.6076082
"56",2015-05-07,0,21.1,274.6448834
"57",2015-05-08,0,18.9,274.7271288
"58",2015-05-09,8.5,17.55,274.739544
"59",2015-05-10,0,17.6,274.8317938
"60",2015-05-11,0,17.6,274.695843
"61",2015-05-12,0,17.2,274.8093921
"62",2015-05-13,0,18.35,274.7552104
"63",2015-05-14,0,17.45,274.8586989
"64",2015-05-15,0,17.3,274.7366045
"65",2015-05-16,9.2,15.5,274.5748902
"66",2015-05-17,0,20.2,274.5263104
"67",2015-05-18,0,20.75,274.6188995
"68",2015-05-19,0,19.9,275.1666475
"69",2015-05-20,0,18.3,274.3945231
"70",2015-05-21,5,12,274.4671458
"71",2015-05-22,2.8,11.7,274.3421156
"72",2015-05-23,1.8,10.85,274.1636538
"73",2015-05-24,2,11.3,274.0833288
"74",2015-05-25,0,12.9,273.9533986
"75",2015-05-26,16.8,13.85,273.7992286
"76",2015-05-27,8.8,13.2,273.7222372
"77",2015-05-28,0.2,13.1,273.8666574
"78",2015-05-29,0,14.95,273.6717064
"79",2015-05-30,0,17.05,273.6753212
"80",2015-05-31,13.3,17.65,273.7554743
"81",2015-06-01,2.2,18.45,273.6683519
"82",2015-06-02,3.4,19.05,273.6685172
"83",2015-06-03,0,20.55,273.6884255
"84",2015-06-04,0,21.7,273.6998817
"85",2015-06-05,0,22.45,273.6648734
"86",2015-06-06,0,22.2,273.741792
"87",2015-06-07,0,21.25,273.8530483
"88",2015-06-08,2.6,20.45,273.7789352
"89",2015-06-09,1.4,19.15,NA
"90",2015-06-10,3.2,19.85,274.1147766
"91",2015-06-11,8.8,20.75,NA
"92",2015-06-12,0,20.85,NA
"93",2015-06-13,0,22.25,NA
"94",2015-06-14,0,20.25,NA
"95",2015-06-15,0.6,17.25,NA
"96",2015-06-16,0.8,19.65,NA
"97",2015-06-17,15.8,17.7,NA
"98",2015-06-18,0.2,16.75,274.3496109
"99",2015-06-19,21.9,18.2,273.9063992
"100",2015-06-20,37.5,18.2,NA
"101",2015-06-21,2.6,17.15,NA
"102",2015-06-22,0,17.5,NA
"103",2015-06-23,0,18.5,NA
"104",2015-06-24,3.6,19.8,NA
"105",2015-06-25,0,19,NA
"106",2015-06-26,0,18.8,NA
"107",2015-06-27,0,19.3,NA
"108",2015-06-28,0,21.1,NA
"109",2015-06-29,0,21.1,NA
"110",2015-06-30,0,22.1,NA
"111",2015-07-01,0,22.45,NA
"112",2015-07-02,0,23.05,NA
"113",2015-07-03,0,25,NA
"114",2015-07-04,0,24.5,NA
"115",2015-07-05,0,24.4,NA
"116",2015-07-06,0,25.15,NA
"117",2015-07-07,1.4,26.2,NA
"118",2015-07-08,0,24.8,NA
"119",2015-07-09,0,24.45,NA
"120",2015-07-10,0,24.45,NA
"121",2015-07-11,0,24.05,NA
"122",2015-07-12,0,24.65,NA
"123",2015-07-13,0,24.5,NA
"124",2015-07-14,0,24.75,NA
"125",2015-07-15,1.8,27.4,NA
"126",2015-07-16,0,27.3,NA
"127",2015-07-17,0,27.1,NA
"128",2015-07-18,0,28.35,NA
"129",2015-07-19,0,27.75,NA
"130",2015-07-20,0,27.25,NA
"131",2015-07-21,6.7,27.35,NA
"132",2015-07-22,5.6,26.45,NA
"133",2015-07-23,0.4,25.05,NA
"134",2015-07-24,4.2,23.95,NA
"135",2015-07-25,52.1,22.85,NA
"136",2015-07-26,0.2,23.3,NA
"137",2015-07-27,0,22,NA
"138",2015-07-28,0,23.35,NA
"139",2015-07-29,0,23,NA
"140",2015-07-30,0,24.15,NA
"141",2015-07-31,0,25.4,NA
"142",2015-08-01,0,26.1,NA
"143",2015-08-02,0,25.75,NA
"144",2015-08-03,9.6,25.05,NA
"145",2015-08-04,0,25.4,NA
"146",2015-08-05,0,26.5,NA
"147",2015-08-06,0,27.25,NA
"148",2015-08-07,0.8,27.4,NA
"149",2015-08-08,0,27.05,NA
"150",2015-08-09,6.2,25.55,NA
"151",2015-08-10,5.2,22.55,NA
"152",2015-08-11,22.3,20,NA
"153",2015-08-12,0.2,23.6,NA
"154",2015-08-13,0,25.4,NA
"155",2015-08-14,1.6,25.9,NA
"156",2015-08-15,0,22.8,NA
"157",2015-08-16,10.6,17.45,NA
"158",2015-08-17,0.2,18.5,NA
"159",2015-08-18,0,19.85,NA
"160",2015-08-19,12.7,18.3,NA
"161",2015-08-20,0,18.9,NA
"162",2015-08-21,9,19.1,NA
"163",2015-08-22,4.2,19.05,NA
"164",2015-08-23,0,19.8,NA
"165",2015-08-24,0,20.6,NA
"166",2015-08-25,0,22.4,NA
"167",2015-08-26,0,21.45,NA
"168",2015-08-27,0,23.25,NA
"169",2015-08-28,0,23.65,NA
"170",2015-08-29,0,25.25,NA
"171",2015-08-30,0,26,NA
"172",2015-08-31,0,25.8,NA
"173",2015-09-01,0,24.45,NA
"174",2015-09-02,0,23.25,NA
"175",2015-09-03,0,22.15,NA
"176",2015-09-04,2.7,21.9,NA
"177",2015-09-05,13.8,19.45,NA
"178",2015-09-06,0,17.6,NA
"179",2015-09-07,0,18.35,NA
"180",2015-09-08,0,18.25,NA
"181",2015-09-09,0,16.25,NA
"182",2015-09-10,0,17.65,NA
"183",2015-09-11,4,17.5,NA
"184",2015-09-12,0,18.1,NA
"185",2015-09-13,0,20.25,NA
"186",2015-09-14,2.2,20.4,NA
"187",2015-09-15,0,22.2,NA
"188",2015-09-16,0,23.2,NA
"189",2015-09-17,0,25.4,NA
"190",2015-09-18,0,25.95,NA
"191",2015-09-19,0.4,24.45,NA
"192",2015-09-20,1.2,19.45,NA
"193",2015-09-21,0,19.15,NA
