"date","prec","tmin","tmax","bullet","color","um"
"Mer 1","0.0","19.2","32.5","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Gio 2","0.0","18.4","32.8","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Ven 3","0.0","17.4","33.9","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Sab 4","0.0","17.5","32.8","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Dom 5","0.0","20.5","30.1","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Lun 6","0.0","19.3","34.6","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Mar 7","0.0","21.0","35.7","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Mer 8","0.0","18.6","34.8","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Gio 9","0.0","16.4","33.9","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Ven 10","0.0","19.5","31.5","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Sab 11","0.0","17.7","30.5","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Dom 12","0.0","17.1","30.6","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Lun 13","5.0","21.5","30.6","https://www.3bmeteo.com/images/set_icone/7/28.png","#1461A1","mm"
"Mar 14","0.0","19.6","30.5","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mer 15","0.0","17.7","30.5","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Gio 16","0.0","18.0","29.6","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Ven 17","0.0","19.6","32.5","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Sab 18","0.0","20.4","34.7","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Dom 19","0.0","19.3","34.8","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Lun 20","0.0","19.4","33.8","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Mar 21","0.0","18.5","34.9","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Mer 22","0.0","20.2","33.6","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Gio 23","0.0","18.7","35.0","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Ven 24","0.0","20.0","32.6","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Sab 25","0.0","18.6","32.9","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Dom 26","0.0","21.2","28.4","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Lun 27","0.0","21.3","31.8","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mar 28","0.0","16.2","29.6","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Mer 29","0.0","17.3","30.7","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Gio 30","0.0","16.7","30.8","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Ven 31","8.0","20.5","26.4","https://www.3bmeteo.com/images/set_icone/7/4.png","#1461A1","mm"
