"date","prec","tmin","tmax","bullet","color","um"
"Ven 1","0.0","14.7","21.4","https://www.3bmeteo.com/images/set_icone/7/53.png","#1461A1","mm"
"Sab 2","0.0","8.8","21.0","https://www.3bmeteo.com/images/set_icone/7/52.png","#1461A1","mm"
"Dom 3","0.0","10.7","22.0","https://www.3bmeteo.com/images/set_icone/7/51.png","#1461A1","mm"
"Lun 4","0.0","10.2","21.0","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Mar 5","0.0","10.8","21.0","https://www.3bmeteo.com/images/set_icone/7/51.png","#1461A1","mm"
"Mer 6","0.0","10.9","22.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Gio 7","0.0","12.7","25.2","https://www.3bmeteo.com/images/set_icone/7/52.png","#1461A1","mm"
"Ven 8","4.0","12.1","18.3","https://www.3bmeteo.com/images/set_icone/7/9.png","#1461A1","mm"
"Sab 9","6.0","9.3","13.2","https://www.3bmeteo.com/images/set_icone/7/9.png","#1461A1","mm"
"Dom 10","2.0","7.7","17.1","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Lun 11","0.0","5.8","18.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mar 12","0.0","8.6","20.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mer 13","0.0","13.1","23.0","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Gio 14","0.0","12.4","21.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Ven 15","0.0","5.8","20.2","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Sab 16","0.0","6.8","20.0","https://www.3bmeteo.com/images/set_icone/7/41.png","#1461A1","mm"
"Dom 17","0.0","12.7","22.0","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Lun 18","0.0","12.7","22.0","https://www.3bmeteo.com/images/set_icone/7/52.png","#1461A1","mm"
"Mar 19","0.0","11.7","21.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mer 20","0.0","7.6","23.1","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Gio 21","0.0","10.7","21.1","https://www.3bmeteo.com/images/set_icone/7/52.png","#1461A1","mm"
"Ven 22","2.0","10.0","18.0","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Sab 23","7.0","11.1","17.0","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Dom 24","10.0","10.3","16.0","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Lun 25","3.0","6.7","12.0","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Mar 26","4.0","4.8","13.0","https://www.3bmeteo.com/images/set_icone/7/9.png","#1461A1","mm"
"Mer 27","3.0","10.6","15.0","https://www.3bmeteo.com/images/set_icone/7/47.png","#1461A1","mm"
"Gio 28","1.0","10.9","16.0","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Ven 29","0.0","11.1","20.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Sab 30","1.0","9.0","20.1","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
