"date","prec","tmin","tmax","bullet","color","um"
"Sab 1","0.0","8.0","14.3","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Dom 2","0.0","3.0","13.0","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Lun 3","4.0","8.0","13.2","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Mar 4","0.0","8.8","16.1","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mer 5","0.0","5.8","14.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Gio 6","2.0","8.5","12.2","https://www.3bmeteo.com/images/set_icone/7/9.png","#1461A1","mm"
"Ven 7","1.0","4.9","12.0","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Sab 8","9.0","5.9","12.3","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Dom 9","0.0","3.6","14.0","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Lun 10","0.0","4.0","14.1","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Mar 11","0.0","-0.1","10.2","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Mer 12","1.0","-0.3","8.0","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Gio 13","15.0","2.9","8.0","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Ven 14","62.0","5.0","8.0","https://www.3bmeteo.com/images/set_icone/7/7.png","#1461A1","mm"
"Sab 15","0.0","1.3","8.2","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Dom 16","3.0","-2.2","6.1","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Lun 17","6.0","2.7","8.5","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Mar 18","0.0","0.7","10.4","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Mer 19","0.0","-0.6","11.0","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Gio 20","6.0","5.9","12.1","https://www.3bmeteo.com/images/set_icone/7/9.png","#1461A1","mm"
"Ven 21","0.0","3.6","12.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Sab 22","5.0","9.1","12.1","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Dom 23","0.0","7.5","14.1","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Lun 24","0.0","7.7","13.1","https://www.3bmeteo.com/images/set_icone/7/47.png","#1461A1","mm"
"Mar 25","0.0","2.8","12.5","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Mer 26","0.0","-0.3","11.2","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Gio 27","0.0","0.6","11.3","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Ven 28","0.0","1.4","11.0","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Sab 29","0.0","3.0","10.0","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Dom 30","0.0","1.2","10.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Lun 31","0.0","1.1","10.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
