"date","prec","tmin","tmax","bullet","color","um"
"Ven 1","3.0","4.0","9.0","https://www.3bmeteo.com/images/set_icone/7/9.png","#1461A1","mm"
"Sab 2","13.0","5.6","9.1","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Dom 3","12.0","4.0","9.1","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Lun 4","15.0","3.1","11.1","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Mar 5","15.0","7.9","10.2","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Mer 6","11.0","3.7","12.5","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Gio 7","9.0","3.0","11.0","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Ven 8","0.0","8.2","15.1","https://www.3bmeteo.com/images/set_icone/7/49.png","#1461A1","mm"
"Sab 9","0.0","9.8","15.1","https://www.3bmeteo.com/images/set_icone/7/47.png","#1461A1","mm"
"Dom 10","6.0","10.7","15.1","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Lun 11","3.0","10.5","16.2","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Mar 12","0.0","6.7","13.2","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Mer 13","0.0","2.8","12.3","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Gio 14","4.0","1.8","9.8","https://www.3bmeteo.com/images/set_icone/7/9.png","#1461A1","mm"
"Ven 15","4.0","4.9","11.4","https://www.3bmeteo.com/images/set_icone/7/9.png","#1461A1","mm"
"Sab 16","3.0","0.8","9.2","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Dom 17","0.0","0.3","6.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Lun 18","0.0","-1.0","6.0","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Mar 19","0.0","-1.2","6.2","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Mer 20","3.0","-3.2","7.0","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Gio 21","3.0","1.8","10.1","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Ven 22","0.0","-0.6","11.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Sab 23","0.0","-0.1","10.1","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Dom 24","0.0","0.5","12.1","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Lun 25","0.0","-0.4","12.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mar 26","0.0","1.4","12.0","https://www.3bmeteo.com/images/set_icone/7/41.png","#1461A1","mm"
"Mer 27","0.0","3.2","13.0","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Gio 28","0.0","5.8","12.0","https://www.3bmeteo.com/images/set_icone/7/47.png","#1461A1","mm"
"Ven 29","0.0","6.7","14.0","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Sab 30","0.0","6.8","12.0","https://www.3bmeteo.com/images/set_icone/7/49.png","#1461A1","mm"
"Dom 31","1.0","9.2","12.1","https://www.3bmeteo.com/images/set_icone/7/9.png","#1461A1","mm"
