"date","prec","tmin","tmax","bullet","color","um"
"Sab 1","10.0","9.6","16.2","https://www.3bmeteo.com/images/set_icone/7/4.png","#1461A1","mm"
"Dom 2","0.0","10.5","20.6","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Lun 3","8.0","12.6","19.4","https://www.3bmeteo.com/images/set_icone/7/28.png","#1461A1","mm"
"Mar 4","6.0","12.4","20.5","https://www.3bmeteo.com/images/set_icone/7/28.png","#1461A1","mm"
"Mer 5","3.0","13.4","20.6","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Gio 6","0.0","10.2","22.6","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Ven 7","0.0","10.8","24.7","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Sab 8","0.0","11.9","25.7","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Dom 9","0.0","14.8","23.7","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Lun 10","5.0","13.4","20.3","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Mar 11","0.0","11.2","22.5","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mer 12","0.0","11.9","25.7","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Gio 13","0.0","12.8","27.8","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Ven 14","0.0","12.4","26.7","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Sab 15","0.0","14.3","26.6","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Dom 16","0.0","16.1","28.5","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Lun 17","0.0","15.4","30.8","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Mar 18","0.0","18.5","30.5","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mer 19","0.0","17.5","31.8","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Gio 20","0.0","17.6","30.6","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Ven 21","0.0","16.6","28.6","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Sab 22","0.0","16.2","26.3","https://www.3bmeteo.com/images/set_icone/7/52.png","#1461A1","mm"
"Dom 23","0.0","16.2","26.4","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Lun 24","0.0","14.7","21.3","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Mar 25","0.0","16.0","25.5","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mer 26","6.0","12.8","22.9","https://www.3bmeteo.com/images/set_icone/7/4.png","#1461A1","mm"
"Gio 27","0.0","12.0","23.5","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Ven 28","3.0","16.0","22.4","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Sab 29","0.0","12.0","24.7","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Dom 30","0.0","12.2","25.8","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
