"date","prec","tmin","tmax","bullet","color","um"
"Mar 1","0.0","13.7","24.5","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mer 2","0.0","13.6","25.8","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Gio 3","0.0","14.8","28.8","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Ven 4","0.0","15.2","30.8","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Sab 5","0.0","19.9","26.2","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Dom 6","0.0","15.5","28.6","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Lun 7","0.0","15.7","27.4","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Mar 8","0.0","20.2","24.1","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mer 9","0.0","17.1","23.4","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Gio 10","7.0","15.3","22.4","https://www.3bmeteo.com/images/set_icone/7/28.png","#1461A1","mm"
"Ven 11","2.0","12.2","24.6","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Sab 12","2.0","17.0","24.5","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Dom 13","13.0","15.6","21.3","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Lun 14","17.1","16.2","22.5","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Mar 15","3.0","12.3","26.8","https://www.3bmeteo.com/images/set_icone/7/28.png","#1461A1","mm"
"Mer 16","3.0","15.3","28.8","https://www.3bmeteo.com/images/set_icone/7/28.png","#1461A1","mm"
"Gio 17","6.0","16.4","30.0","https://www.3bmeteo.com/images/set_icone/7/28.png","#1461A1","mm"
"Ven 18","0.0","15.4","30.8","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Sab 19","0.0","16.1","30.7","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Dom 20","0.0","17.1","31.6","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Lun 21","11.0","18.6","24.3","https://www.3bmeteo.com/images/set_icone/7/28.png","#1461A1","mm"
"Mar 22","21.0","17.2","22.3","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Mer 23","0.0","15.3","27.6","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Gio 24","0.0","19.1","25.4","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Ven 25","0.0","15.2","27.6","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Sab 26","17.1","18.0","26.5","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Dom 27","3.0","14.7","26.7","https://www.3bmeteo.com/images/set_icone/7/28.png","#1461A1","mm"
"Lun 28","0.0","15.6","25.4","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mar 29","0.0","18.8","25.3","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Mer 30","22.0","15.6","20.5","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Gio 31","0.0","15.0","25.9","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
