"date","prec","tmin","tmax","bullet","color","um"
"Dom 1","12.0","9.8","16.3","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Lun 2","11.0","8.4","15.5","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Mar 3","0.0","9.8","21.4","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mer 4","0.0","9.5","21.3","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Gio 5","11.0","8.2","20.7","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Ven 6","0.0","8.6","21.6","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Sab 7","0.0","9.7","20.3","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Dom 8","0.0","11.4","20.2","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Lun 9","0.0","13.5","21.3","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Mar 10","0.0","14.2","24.4","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Mer 11","3.0","14.8","23.3","https://www.3bmeteo.com/images/set_icone/7/9.png","#1461A1","mm"
"Gio 12","11.0","12.9","18.0","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Ven 13","2.0","12.4","18.0","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Sab 14","20.0","11.6","16.0","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Dom 15","5.0","12.3","18.3","https://www.3bmeteo.com/images/set_icone/7/28.png","#1461A1","mm"
"Lun 16","3.0","9.0","19.4","https://www.3bmeteo.com/images/set_icone/7/28.png","#1461A1","mm"
"Mar 17","11.0","11.6","17.0","https://www.3bmeteo.com/images/set_icone/7/4.png","#1461A1","mm"
"Mer 18","0.0","10.5","18.0","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Gio 19","6.0","11.7","17.0","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Ven 20","2.0","9.6","22.6","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Sab 21","0.0","13.0","25.4","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Dom 22","0.0","10.5","24.3","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Lun 23","0.0","11.5","19.2","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mar 24","0.0","11.3","19.3","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Mer 25","0.0","10.1","21.2","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Gio 26","0.0","13.2","24.2","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Ven 27","0.0","10.8","28.4","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Sab 28","0.0","14.2","27.3","https://www.3bmeteo.com/images/set_icone/7/51.png","#1461A1","mm"
"Dom 29","3.0","16.1","23.0","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Lun 30","0.0","13.7","21.1","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mar 31","0.0","13.8","21.1","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
