"date","prec","tmin","tmax","bullet","color","um"
"Mar 1","6.0","6.3","14.1","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mer 2","2.0","3.8","13.1","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Gio 3","12.0","5.6","11.2","https://www.3bmeteo.com/images/set_icone/7/4.png","#1461A1","mm"
"Ven 4","0.0","1.1","12.2","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Sab 5","16.1","6.1","13.1","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Dom 6","6.0","5.9","12.3","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Lun 7","8.0","5.0","10.1","https://www.3bmeteo.com/images/set_icone/7/4.png","#1461A1","mm"
"Mar 8","9.0","4.0","11.2","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Mer 9","26.0","3.9","9.2","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Gio 10","5.0","2.2","9.0","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Ven 11","0.0","3.2","14.1","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Sab 12","0.0","5.2","16.3","https://www.3bmeteo.com/images/set_icone/7/51.png","#1461A1","mm"
"Dom 13","0.0","7.7","14.2","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Lun 14","9.0","7.7","15.1","https://www.3bmeteo.com/images/set_icone/7/7.png","#1461A1","mm"
"Mar 15","6.0","5.0","11.0","https://www.3bmeteo.com/images/set_icone/7/4.png","#1461A1","mm"
"Mer 16","8.0","5.4","12.1","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Gio 17","2.0","4.2","15.2","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Ven 18","3.0","7.2","13.3","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Sab 19","0.0","4.6","16.3","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Dom 20","0.0","6.4","15.2","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Lun 21","0.0","9.0","19.3","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Mar 22","2.0","8.5","20.2","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Mer 23","9.0","7.8","12.5","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Gio 24","8.0","6.0","12.2","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Ven 25","0.0","1.8","13.0","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Sab 26","5.0","6.4","16.3","https://www.3bmeteo.com/images/set_icone/7/28.png","#1461A1","mm"
"Dom 27","0.0","4.7","16.2","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Lun 28","4.0","8.7","13.1","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Mar 29","0.0","9.2","17.1","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mer 30","0.0","7.7","18.2","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Gio 31","0.0","6.7","21.3","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
