"date","prec","tmin","tmax","bullet","color","um"
"Ven 1","0.0","11.2","20.2","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Sab 2","4.0","12.8","18.0","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Dom 3","2.0","13.8","18.1","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Lun 4","15.0","13.5","19.2","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Mar 5","31.0","11.2","17.3","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Mer 6","0.0","9.8","18.1","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Gio 7","0.0","8.7","20.1","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Ven 8","1.0","13.5","19.2","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Sab 9","8.0","14.3","19.2","https://www.3bmeteo.com/images/set_icone/7/4.png","#1461A1","mm"
"Dom 10","40.0","10.9","16.2","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Lun 11","12.0","7.5","13.2","https://www.3bmeteo.com/images/set_icone/7/9.png","#1461A1","mm"
"Mar 12","6.0","7.4","13.0","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Mer 13","0.0","10.1","17.1","https://www.3bmeteo.com/images/set_icone/7/47.png","#1461A1","mm"
"Gio 14","0.0","10.7","19.2","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Ven 15","20.0","10.9","12.3","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Sab 16","1.0","10.6","17.2","https://www.3bmeteo.com/images/set_icone/7/9.png","#1461A1","mm"
"Dom 17","0.0","9.0","17.2","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Lun 18","2.0","7.4","16.0","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Mar 19","69.2","9.5","15.4","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Mer 20","6.0","8.0","13.2","https://www.3bmeteo.com/images/set_icone/7/47.png","#1461A1","mm"
"Gio 21","14.0","7.5","11.2","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Ven 22","20.0","6.6","9.0","https://www.3bmeteo.com/images/set_icone/7/4.png","#1461A1","mm"
"Sab 23","17.0","4.0","7.3","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Dom 24","2.0","4.6","10.1","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Lun 25","0.0","3.2","10.4","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Mar 26","0.0","0.3","5.1","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mer 27","0.0","-0.1","5.1","https://www.3bmeteo.com/images/set_icone/7/47.png","#1461A1","mm"
"Gio 28","2.0","-2.0","7.1","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Ven 29","0.0","0.3","12.0","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Sab 30","0.0","0.4","12.2","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
