"date","prec","tmin","tmax","bullet","color","um"
"Lun 1","8.0","15.7","23.2","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Mar 2","5.0","15.7","22.2","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Mer 3","0.0","13.0","22.1","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Gio 4","0.0","11.7","22.2","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Ven 5","0.0","13.3","23.3","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Sab 6","0.0","11.7","23.2","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Dom 7","0.0","12.6","21.1","https://www.3bmeteo.com/images/set_icone/7/47.png","#1461A1","mm"
"Lun 8","0.0","13.6","24.2","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mar 9","8.0","13.9","20.1","https://www.3bmeteo.com/images/set_icone/7/4.png","#1461A1","mm"
"Mer 10","0.0","12.2","23.2","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Gio 11","0.0","14.7","23.2","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Ven 12","23.1","14.2","19.2","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Sab 13","10.0","14.6","19.2","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Dom 14","0.0","12.7","20.2","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Lun 15","46.0","13.2","21.3","https://www.3bmeteo.com/images/set_icone/7/7.png","#1461A1","mm"
"Mar 16","1.0","12.1","18.2","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Mer 17","0.0","11.5","20.1","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Gio 18","0.0","8.6","21.1","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Ven 19","0.0","9.6","23.1","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Sab 20","0.0","10.3","24.1","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Dom 21","0.0","9.4","24.2","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Lun 22","0.0","15.1","24.2","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mar 23","0.0","14.7","22.1","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mer 24","0.0","11.1","21.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Gio 25","0.0","9.5","21.2","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Ven 26","14.0","12.7","18.1","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Sab 27","111.0","14.0","17.1","https://www.3bmeteo.com/images/set_icone/7/4.png","#1461A1","mm"
"Dom 28","10.0","7.2","13.8","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Lun 29","12.0","4.7","10.2","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Mar 30","0.0","1.7","13.0","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Mer 31","74.0","8.0","13.1","https://www.3bmeteo.com/images/set_icone/7/56.png","#1461A1","mm"
