"date","prec","tmin","tmax","bullet","color","um"
"Sab 1","0.0","20.0","32.5","https://www.3bmeteo.com/images/set_icone/7/51.png","#1461A1","mm"
"Dom 2","0.0","19.8","31.5","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Lun 3","0.0","19.0","32.6","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mar 4","0.0","19.0","33.3","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mer 5","0.0","20.2","34.5","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Gio 6","0.0","21.0","35.6","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Ven 7","0.0","22.0","35.5","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Sab 8","2.0","22.0","36.0","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Dom 9","0.0","21.0","33.5","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Lun 10","11.0","21.4","28.3","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Mar 11","21.1","18.5","27.5","https://www.3bmeteo.com/images/set_icone/7/28.png","#1461A1","mm"
"Mer 12","0.0","17.7","33.9","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Gio 13","0.0","19.0","35.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Ven 14","0.0","20.0","32.7","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Sab 15","5.0","20.7","29.4","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Dom 16","14.0","18.3","24.2","https://www.3bmeteo.com/images/set_icone/7/4.png","#1461A1","mm"
"Lun 17","0.0","14.0","26.5","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mar 18","0.0","13.0","28.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mer 19","20.0","17.2","25.4","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Gio 20","0.0","15.0","27.6","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Ven 21","0.0","16.0","28.7","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Sab 22","0.0","16.0","28.7","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Dom 23","0.0","16.0","27.5","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Lun 24","0.0","18.3","27.4","https://www.3bmeteo.com/images/set_icone/7/47.png","#1461A1","mm"
"Mar 25","2.0","20.4","28.4","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mer 26","0.0","16.0","29.7","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Gio 27","0.0","16.0","30.9","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Ven 28","0.0","17.0","29.6","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Sab 29","0.0","17.0","31.8","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Dom 30","0.0","18.0","34.0","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Lun 31","0.0","19.0","33.9","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
