"date","prec","tmin","tmax","bullet","color","um"
"Ven 1","0.0","15.4","22.4","https://www.3bmeteo.com/images/set_icone/7/53.png","#1461A1","mm"
"Sab 2","0.0","8.3","22.0","https://www.3bmeteo.com/images/set_icone/7/52.png","#1461A1","mm"
"Dom 3","0.0","9.9","23.0","https://www.3bmeteo.com/images/set_icone/7/51.png","#1461A1","mm"
"Lun 4","0.0","9.5","22.0","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Mar 5","0.0","10.1","22.0","https://www.3bmeteo.com/images/set_icone/7/51.png","#1461A1","mm"
"Mer 6","0.0","10.9","23.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Gio 7","0.0","11.5","26.2","https://www.3bmeteo.com/images/set_icone/7/52.png","#1461A1","mm"
"Ven 8","4.0","12.4","19.3","https://www.3bmeteo.com/images/set_icone/7/9.png","#1461A1","mm"
"Sab 9","6.0","10.1","14.2","https://www.3bmeteo.com/images/set_icone/7/9.png","#1461A1","mm"
"Dom 10","2.0","6.6","18.1","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Lun 11","0.0","5.8","19.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mar 12","0.0","8.6","21.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mer 13","0.0","12.2","24.0","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Gio 14","0.0","11.6","22.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Ven 15","0.0","5.8","21.2","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Sab 16","0.0","6.8","21.0","https://www.3bmeteo.com/images/set_icone/7/41.png","#1461A1","mm"
"Dom 17","0.0","12.7","23.0","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Lun 18","0.0","11.6","23.0","https://www.3bmeteo.com/images/set_icone/7/52.png","#1461A1","mm"
"Mar 19","0.0","10.6","22.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mer 20","0.0","7.6","24.1","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Gio 21","0.0","9.5","22.1","https://www.3bmeteo.com/images/set_icone/7/52.png","#1461A1","mm"
"Ven 22","2.0","10.0","19.0","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Sab 23","7.0","11.9","18.0","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Dom 24","10.0","10.8","17.0","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Lun 25","3.0","7.7","13.0","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Mar 26","4.0","4.6","14.0","https://www.3bmeteo.com/images/set_icone/7/9.png","#1461A1","mm"
"Mer 27","3.0","10.2","16.0","https://www.3bmeteo.com/images/set_icone/7/47.png","#1461A1","mm"
"Gio 28","1.0","11.1","17.0","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Ven 29","0.0","10.3","21.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Sab 30","1.0","9.0","21.1","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
