"date","prec","tmin","tmax","bullet","color","um"
"Gio 1","0.0","-1.4","12.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Ven 2","0.0","3.8","15.1","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Sab 3","4.0","6.7","13.1","https://www.3bmeteo.com/images/set_icone/7/9.png","#1461A1","mm"
"Dom 4","2.0","7.2","14.1","https://www.3bmeteo.com/images/set_icone/7/47.png","#1461A1","mm"
"Lun 5","0.0","4.6","15.1","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mar 6","5.0","5.8","10.0","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Mer 7","0.0","3.5","16.3","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Gio 8","0.0","2.6","14.3","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Ven 9","0.0","1.5","14.1","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Sab 10","0.0","1.8","13.1","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Dom 11","3.0","2.9","14.0","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Lun 12","0.0","7.1","15.3","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mar 13","0.0","1.0","13.1","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mer 14","0.0","1.9","14.1","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Gio 15","0.0","4.5","15.4","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Ven 16","0.0","3.5","13.3","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Sab 17","0.0","0.7","13.4","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Dom 18","0.0","-1.2","11.1","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Lun 19","9.0","2.0","7.0","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Mar 20","9.0","5.8","13.0","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Mer 21","0.0","7.4","15.0","https://www.3bmeteo.com/images/set_icone/7/51.png","#1461A1","mm"
"Gio 22","0.0","5.2","15.3","https://www.3bmeteo.com/images/set_icone/7/51.png","#1461A1","mm"
"Ven 23","0.0","1.7","14.1","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Sab 24","0.0","2.3","13.2","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Dom 25","0.0","3.3","14.3","https://www.3bmeteo.com/images/set_icone/7/51.png","#1461A1","mm"
"Lun 26","0.0","3.4","15.2","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Mar 27","0.0","3.2","13.1","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mer 28","0.0","2.3","14.3","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Gio 29","0.0","1.5","9.4","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Ven 30","0.0","-2.2","8.0","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Sab 31","0.0","-0.8","10.0","https://www.3bmeteo.com/images/set_icone/7/51.png","#1461A1","mm"
