"date","prec","tmin","tmax","bullet","color","um"
"Dom 1","0.0","10.3","22.7","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Lun 2","0.0","10.1","23.8","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mar 3","0.0","11.2","24.8","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mer 4","0.0","12.2","25.8","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Gio 5","0.0","12.6","24.7","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Ven 6","0.0","11.7","27.8","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Sab 7","0.0","14.1","28.7","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Dom 8","0.0","15.2","32.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Lun 9","0.0","15.8","32.9","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mar 10","0.0","17.8","31.6","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mer 11","0.0","17.3","32.8","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Gio 12","3.0","18.5","33.2","https://www.3bmeteo.com/images/set_icone/7/28.png","#1461A1","mm"
"Ven 13","0.0","17.0","30.7","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Sab 14","3.0","18.8","28.4","https://www.3bmeteo.com/images/set_icone/7/28.png","#1461A1","mm"
"Dom 15","17.0","16.6","26.0","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Lun 16","34.1","14.7","22.6","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Mar 17","10.0","13.2","22.8","https://www.3bmeteo.com/images/set_icone/7/4.png","#1461A1","mm"
"Mer 18","12.0","14.1","22.7","https://www.3bmeteo.com/images/set_icone/7/4.png","#1461A1","mm"
"Gio 19","5.0","14.3","23.8","https://www.3bmeteo.com/images/set_icone/7/28.png","#1461A1","mm"
"Ven 20","0.0","12.5","25.7","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Sab 21","0.0","13.2","26.8","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Dom 22","0.0","14.7","26.6","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Lun 23","0.0","15.6","28.7","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mar 24","0.0","19.0","28.4","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mer 25","8.0","19.0","26.3","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Gio 26","17.1","16.8","24.3","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Ven 27","0.0","15.9","26.5","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Sab 28","0.0","15.4","27.6","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Dom 29","0.0","15.3","28.7","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Lun 30","6.0","19.6","25.1","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
