"date","prec","tmin","tmax","bullet","color","um"
"Mer 1","0.0","18.0","31.6","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Gio 2","0.0","19.0","31.4","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Ven 3","3.0","19.0","34.1","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Sab 4","0.0","19.0","33.8","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Dom 5","0.0","20.0","32.5","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Lun 6","0.0","20.0","32.4","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mar 7","0.0","21.0","32.4","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Mer 8","0.0","20.0","31.3","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Gio 9","0.0","21.7","32.4","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Ven 10","8.0","19.0","31.6","https://www.3bmeteo.com/images/set_icone/7/4.png","#1461A1","mm"
"Sab 11","0.0","19.0","32.6","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Dom 12","0.0","20.0","30.3","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Lun 13","0.0","18.0","31.6","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mar 14","0.0","20.0","33.7","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mer 15","0.0","21.0","33.5","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Gio 16","0.0","22.0","34.6","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Ven 17","0.0","22.0","34.4","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Sab 18","0.0","19.0","35.8","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Dom 19","0.0","19.0","35.0","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Lun 20","0.0","21.0","35.6","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Mar 21","0.0","20.3","34.3","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mer 22","0.0","21.0","35.7","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Gio 23","3.0","21.0","36.1","https://www.3bmeteo.com/images/set_icone/7/28.png","#1461A1","mm"
"Ven 24","0.0","21.8","33.7","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Sab 25","0.0","20.0","31.4","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Dom 26","0.0","22.8","30.1","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Lun 27","0.0","18.8","31.6","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mar 28","0.0","20.8","30.3","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mer 29","0.0","17.0","32.8","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Gio 30","3.0","19.8","32.9","https://www.3bmeteo.com/images/set_icone/7/28.png","#1461A1","mm"
"Ven 31","0.0","20.3","31.3","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
