"date","prec","tmin","tmax","bullet","color","um"
"Ven 1","0.0","11.5","21.2","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Sab 2","4.0","12.2","19.0","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Dom 3","2.0","14.2","19.1","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Lun 4","15.0","13.3","20.2","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Mar 5","31.0","12.1","18.3","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Mer 6","0.0","9.8","19.1","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Gio 7","0.0","8.7","21.1","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Ven 8","1.0","13.3","20.2","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Sab 9","8.0","14.3","20.2","https://www.3bmeteo.com/images/set_icone/7/4.png","#1461A1","mm"
"Dom 10","40.0","10.6","17.2","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Lun 11","12.0","8.2","14.2","https://www.3bmeteo.com/images/set_icone/7/9.png","#1461A1","mm"
"Mar 12","6.0","8.1","14.0","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Mer 13","0.0","9.9","18.1","https://www.3bmeteo.com/images/set_icone/7/47.png","#1461A1","mm"
"Gio 14","0.0","9.6","20.2","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Ven 15","20.0","10.9","13.0","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Sab 16","1.0","10.1","18.2","https://www.3bmeteo.com/images/set_icone/7/9.png","#1461A1","mm"
"Dom 17","0.0","10.0","18.2","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Lun 18","2.0","7.9","17.0","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Mar 19","69.2","10.1","16.4","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Mer 20","6.0","7.3","14.2","https://www.3bmeteo.com/images/set_icone/7/47.png","#1461A1","mm"
"Gio 21","14.0","7.3","12.2","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Ven 22","20.0","6.2","10.0","https://www.3bmeteo.com/images/set_icone/7/4.png","#1461A1","mm"
"Sab 23","17.0","4.0","8.0","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Dom 24","2.0","4.1","11.1","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Lun 25","0.0","3.6","11.4","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Mar 26","0.0","0.5","6.1","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mer 27","0.0","0.1","6.1","https://www.3bmeteo.com/images/set_icone/7/47.png","#1461A1","mm"
"Gio 28","2.0","-1.0","8.1","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Ven 29","0.0","1.3","13.0","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Sab 30","0.0","0.5","13.2","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
