"date","prec","tmin","tmax","bullet","color","um"
"Lun 1","19.0","14.1","21.0","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Mar 2","0.0","13.0","21.3","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Mer 3","0.0","14.3","25.1","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Gio 4","0.0","13.0","25.1","https://www.3bmeteo.com/images/set_icone/7/47.png","#1461A1","mm"
"Ven 5","17.0","15.4","23.3","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Sab 6","26.0","14.6","20.2","https://www.3bmeteo.com/images/set_icone/7/8.png","#1461A1","mm"
"Dom 7","3.0","13.8","21.2","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Lun 8","0.0","12.6","23.1","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mar 9","10.0","12.7","21.0","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Mer 10","0.0","12.5","25.3","https://www.3bmeteo.com/images/set_icone/7/51.png","#1461A1","mm"
"Gio 11","4.0","13.7","21.0","https://www.3bmeteo.com/images/set_icone/7/9.png","#1461A1","mm"
"Ven 12","3.0","15.0","25.1","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Sab 13","0.0","11.4","24.3","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Dom 14","0.0","11.7","23.2","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Lun 15","0.0","11.1","24.2","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Mar 16","0.0","14.4","22.2","https://www.3bmeteo.com/images/set_icone/7/47.png","#1461A1","mm"
"Mer 17","3.0","14.2","23.1","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Gio 18","0.0","12.4","26.1","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Ven 19","0.0","12.5","24.4","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Sab 20","0.0","11.8","24.2","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Dom 21","8.0","11.7","21.0","https://www.3bmeteo.com/images/set_icone/7/28.png","#1461A1","mm"
"Lun 22","9.0","8.0","15.0","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Mar 23","0.0","11.3","22.2","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Mer 24","0.0","8.3","22.1","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Gio 25","0.0","10.0","21.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Ven 26","0.0","12.5","20.2","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Sab 27","6.0","15.8","22.2","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Dom 28","61.0","16.8","19.0","https://www.3bmeteo.com/images/set_icone/7/7.png","#1461A1","mm"
"Lun 29","70.0","13.8","22.0","https://www.3bmeteo.com/images/set_icone/7/6.png","#1461A1","mm"
"Mar 30","16.0","10.2","16.1","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Mer 31","1.0","11.8","19.1","https://www.3bmeteo.com/images/set_icone/7/47.png","#1461A1","mm"
