"date","prec","tmin","tmax","bullet","color","um"
"Gio 1","0.0","18.0","28.4","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Ven 2","3.0","19.7","27.8","https://www.3bmeteo.com/images/set_icone/7/9.png","#1461A1","mm"
"Sab 3","0.0","16.8","27.5","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Dom 4","0.0","14.0","29.1","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Lun 5","0.0","15.6","29.9","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Mar 6","0.0","16.4","29.8","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mer 7","0.0","17.2","30.6","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Gio 8","0.0","19.8","28.0","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Ven 9","0.0","17.8","30.6","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Sab 10","0.0","19.5","32.6","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Dom 11","0.0","20.5","32.5","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Lun 12","0.0","22.4","34.6","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Mar 13","0.0","24.1","33.3","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mer 14","2.0","16.7","29.8","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Gio 15","2.0","13.4","26.1","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Ven 16","0.0","15.0","26.2","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Sab 17","0.0","13.6","27.6","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Dom 18","0.0","16.4","29.8","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Lun 19","0.0","17.5","30.8","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mar 20","0.0","18.5","31.8","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Mer 21","0.0","19.6","31.5","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Gio 22","0.0","19.4","29.6","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Ven 23","4.0","20.0","25.5","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Sab 24","17.0","18.0","27.0","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Dom 25","6.0","16.7","26.0","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Lun 26","4.0","16.7","26.0","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Mar 27","0.0","16.2","27.5","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mer 28","0.0","17.5","28.1","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Gio 29","0.0","17.6","26.5","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Ven 30","3.0","17.6","23.9","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Sab 31","3.0","18.6","28.1","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
