"date","prec","tmin","tmax","bullet","color","um"
"Lun 1","0.0","4.8","15.4","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Mar 2","0.0","7.8","17.3","https://www.3bmeteo.com/images/set_icone/7/4.png","#1461A1","mm"
"Mer 3","7.0","5.6","9.0","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Gio 4","31.0","5.0","8.1","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Ven 5","3.0","1.5","10.6","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Sab 6","0.0","4.0","15.8","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Dom 7","4.0","6.0","10.3","https://www.3bmeteo.com/images/set_icone/7/9.png","#1461A1","mm"
"Lun 8","0.0","3.0","12.7","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Mar 9","4.0","4.7","14.4","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Mer 10","9.0","4.9","10.2","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Gio 11","11.0","3.9","9.2","https://www.3bmeteo.com/images/set_icone/7/4.png","#1461A1","mm"
"Ven 12","7.0","4.5","12.3","https://www.3bmeteo.com/images/set_icone/7/4.png","#1461A1","mm"
"Sab 13","7.0","4.1","9.1","https://www.3bmeteo.com/images/set_icone/7/4.png","#1461A1","mm"
"Dom 14","7.0","3.7","9.2","https://www.3bmeteo.com/images/set_icone/7/4.png","#1461A1","mm"
"Lun 15","0.0","4.0","12.5","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Mar 16","2.0","5.7","12.2","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Mer 17","2.0","6.8","12.1","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Gio 18","0.0","6.7","15.4","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Ven 19","0.0","5.9","16.6","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Sab 20","0.0","7.9","17.4","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Dom 21","0.0","8.0","17.1","https://www.3bmeteo.com/images/set_icone/7/53.png","#1461A1","mm"
"Lun 22","6.0","10.0","16.0","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Mar 23","7.0","8.0","13.6","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Mer 24","0.0","7.3","20.5","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Gio 25","0.0","12.7","24.5","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Ven 26","5.0","10.5","20.2","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Sab 27","0.0","6.8","16.5","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Dom 28","2.0","5.0","12.3","https://www.3bmeteo.com/images/set_icone/7/47.png","#1461A1","mm"
"Lun 29","4.0","4.9","10.1","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Mar 30","4.0","2.4","11.5","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
