"date","prec","tmin","tmax","bullet","color","um"
"Dom 1","0.0","5.0","10.0","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Lun 2","6.3","7.0","12.0","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Mar 3","45.0","7.4","12.0","https://www.3bmeteo.com/images/set_icone/7/47.png","#1461A1","mm"
"Mer 4","0.0","4.0","10.0","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Gio 5","0.3","5.0","10.0","https://www.3bmeteo.com/images/set_icone/7/47.png","#1461A1","mm"
"Ven 6","0.0","6.0","11.0","https://www.3bmeteo.com/images/set_icone/7/47.png","#1461A1","mm"
"Sab 7","1.3","6.0","10.0","https://www.3bmeteo.com/images/set_icone/7/47.png","#1461A1","mm"
"Dom 8","0.0","6.0","10.0","https://www.3bmeteo.com/images/set_icone/7/47.png","#1461A1","mm"
"Lun 9","2.0","5.0","7.8","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Mar 10","0.0","2.1","7.0","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Mer 11","0.0","-1.0","7.0","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Gio 12","0.0","1.0","6.0","https://www.3bmeteo.com/images/set_icone/7/47.png","#1461A1","mm"
"Ven 13","39.3","2.0","6.0","https://www.3bmeteo.com/images/set_icone/7/56.png","#1461A1","mm"
"Sab 14","0.0","1.0","9.0","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Dom 15","0.0","6.0","9.0","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Lun 16","0.0","6.0","12.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mar 17","0.0","8.0","13.0","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Mer 18","0.0","9.0","12.0","https://www.3bmeteo.com/images/set_icone/7/49.png","#1461A1","mm"
"Gio 19","29.0","6.0","10.0","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Ven 20","0.6","5.0","8.0","https://www.3bmeteo.com/images/set_icone/7/9.png","#1461A1","mm"
"Sab 21","86.6","8.0","11.0","https://www.3bmeteo.com/images/set_icone/7/56.png","#1461A1","mm"
"Dom 22","38.6","5.8","11.0","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Lun 23","1.9","2.0","9.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mar 24","0.0","2.0","8.0","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Mer 25","0.0","4.0","11.0","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Gio 26","0.0","1.0","8.0","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Ven 27","0.0","2.0","7.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Sab 28","0.1","-2.5","3.0","https://www.3bmeteo.com/images/set_icone/7/20.png","#1461A1","mm"
"Dom 29","0.0","-4.3","2.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Lun 30","0.0","-3.0","5.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mar 31","0.0","-1.0","6.0","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
