"date","prec","tmin","tmax","bullet","color","um"
"Ven 1","11.6","4.6","8.1","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Sab 2","38.8","4.4","8.0","https://www.3bmeteo.com/images/set_icone/7/9.png","#1461A1","mm"
"Dom 3","12.8","2.0","6.1","https://www.3bmeteo.com/images/set_icone/7/9.png","#1461A1","mm"
"Lun 4","1.0","1.0","7.0","https://www.3bmeteo.com/images/set_icone/7/47.png","#1461A1","mm"
"Mar 5","0.0","2.7","12.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mer 6","0.0","0.8","8.1","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Gio 7","0.0","1.4","10.1","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Ven 8","0.0","2.6","9.3","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Sab 9","0.0","1.0","7.0","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Dom 10","2.0","2.6","8.0","https://www.3bmeteo.com/images/set_icone/7/9.png","#1461A1","mm"
"Lun 11","7.0","1.5","6.4","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Mar 12","0.0","-2.0","5.2","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Mer 13","0.0","-2.2","4.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Gio 14","0.0","-1.4","12.0","https://www.3bmeteo.com/images/set_icone/7/51.png","#1461A1","mm"
"Ven 15","0.0","2.4","10.3","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Sab 16","0.0","0.8","9.1","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Dom 17","0.0","3.5","12.1","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Lun 18","0.0","2.3","11.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mar 19","0.0","2.3","10.3","https://www.3bmeteo.com/images/set_icone/7/60.png","#1461A1","mm"
"Mer 20","0.0","2.5","11.0","https://www.3bmeteo.com/images/set_icone/7/41.png","#1461A1","mm"
"Gio 21","0.0","1.8","11.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Ven 22","0.0","2.8","12.1","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Sab 23","0.0","-3.8","3.7","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Dom 24","0.0","-4.1","6.1","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Lun 25","1.2","-1.4","5.1","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mar 26","0.0","0.3","11.0","https://www.3bmeteo.com/images/set_icone/7/51.png","#1461A1","mm"
"Mer 27","0.0","4.9","13.2","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Gio 28","0.0","3.9","11.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
