"date","prec","tmin","tmax","bullet","color","um"
"Mer 1","0.0","2.0","10.0","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Gio 2","0.0","3.0","10.0","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Ven 3","0.0","5.0","10.0","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Sab 4","0.0","3.0","8.0","https://www.3bmeteo.com/images/set_icone/7/51.png","#1461A1","mm"
"Dom 5","0.0","-0.6","7.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Lun 6","0.0","-2.0","3.0","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Mar 7","0.0","-2.0","7.0","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Mer 8","0.0","2.0","8.0","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Gio 9","0.0","1.0","8.0","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Ven 10","0.0","2.0","8.0","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Sab 11","0.0","2.3","8.0","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Dom 12","0.0","2.0","8.0","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Lun 13","0.0","1.0","8.0","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Mar 14","0.0","1.0","7.0","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Mer 15","0.0","3.0","9.0","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Gio 16","0.0","2.0","8.0","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Ven 17","0.0","2.0","8.0","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Sab 18","5.6","2.1","5.1","https://www.3bmeteo.com/images/set_icone/7/49.png","#1461A1","mm"
"Dom 19","0.0","0.5","6.2","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Lun 20","0.0","3.3","6.9","https://www.3bmeteo.com/images/set_icone/7/52.png","#1461A1","mm"
"Mar 21","0.0","4.3","9.1","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Mer 22","0.0","3.1","8.5","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Gio 23","0.0","5.2","10.1","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Ven 24","0.0","4.8","9.2","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Sab 25","23.5","5.1","7.2","https://www.3bmeteo.com/images/set_icone/7/48.png","#1461A1","mm"
"Dom 26","5.5","4.4","8.2","https://www.3bmeteo.com/images/set_icone/7/47.png","#1461A1","mm"
"Lun 27","0.0","3.8","7.9","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Mar 28","6.8","4.7","6.5","https://www.3bmeteo.com/images/set_icone/7/48.png","#1461A1","mm"
"Mer 29","0.6","3.6","7.2","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Gio 30","0.0","3.9","8.4","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Ven 31","1.2","4.6","7.0","https://www.3bmeteo.com/images/set_icone/7/48.png","#1461A1","mm"
