"date","prec","tmin","tmax","bullet","color","um"
"Lun 1","0.0","10.0","17.2","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Mar 2","9.0","10.5","17.0","https://www.3bmeteo.com/images/set_icone/7/28.png","#1461A1","mm"
"Mer 3","20.5","11.7","18.3","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Gio 4","0.0","11.3","17.1","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Ven 5","89.7","10.1","14.4","https://www.3bmeteo.com/images/set_icone/7/56.png","#1461A1","mm"
"Sab 6","1.0","10.2","19.3","https://www.3bmeteo.com/images/set_icone/7/68.png","#1461A1","mm"
"Dom 7","0.0","12.1","19.5","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Lun 8","25.6","12.4","16.2","https://www.3bmeteo.com/images/set_icone/7/7.png","#1461A1","mm"
"Mar 9","2.5","11.8","18.4","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Mer 10","29.3","9.8","15.5","https://www.3bmeteo.com/images/set_icone/7/7.png","#1461A1","mm"
"Gio 11","15.4","9.3","15.9","https://www.3bmeteo.com/images/set_icone/7/8.png","#1461A1","mm"
"Ven 12","0.0","9.2","18.5","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Sab 13","4.0","13.6","21.8","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Dom 14","0.0","12.8","18.3","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Lun 15","11.4","11.4","18.3","https://www.3bmeteo.com/images/set_icone/7/69.png","#1461A1","mm"
"Mar 16","20.5","12.2","19.2","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Mer 17","2.5","12.7","19.0","https://www.3bmeteo.com/images/set_icone/7/28.png","#1461A1","mm"
"Gio 18","0.8","11.9","18.9","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Ven 19","2.8","12.9","21.2","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Sab 20","1.4","13.4","21.7","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Dom 21","33.4","13.7","19.9","https://www.3bmeteo.com/images/set_icone/7/63.png","#1461A1","mm"
"Lun 22","0.7","14.4","21.1","https://www.3bmeteo.com/images/set_icone/7/52.png","#1461A1","mm"
"Mar 23","0.0","15.5","24.3","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mer 24","0.0","16.4","23.6","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Gio 25","0.0","15.7","23.4","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Ven 26","0.0","16.4","24.4","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Sab 27","0.0","17.0","25.4","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Dom 28","4.4","17.8","25.9","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Lun 29","0.0","17.7","27.4","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mar 30","0.0","17.5","27.3","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
