"date","prec","tmin","tmax","bullet","color","um"
"Lun 1","0.0","17.3","31.7","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mar 2","0.0","19.4","32.6","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mer 3","0.0","20.3","32.8","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Gio 4","0.0","19.0","30.7","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Ven 5","0.0","18.6","30.5","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Sab 6","0.0","17.3","31.7","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Dom 7","0.0","19.0","29.2","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Lun 8","0.0","16.5","30.7","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mar 9","8.0","18.7","23.8","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Mer 10","16.0","18.0","23.0","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Gio 11","0.0","14.5","29.9","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Ven 12","5.0","14.7","25.4","https://www.3bmeteo.com/images/set_icone/7/28.png","#1461A1","mm"
"Sab 13","5.0","14.4","25.5","https://www.3bmeteo.com/images/set_icone/7/28.png","#1461A1","mm"
"Dom 14","3.0","14.7","25.5","https://www.3bmeteo.com/images/set_icone/7/28.png","#1461A1","mm"
"Lun 15","5.0","14.8","20.3","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Mar 16","2.0","13.5","25.1","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Mer 17","0.0","14.8","25.7","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Gio 18","16.0","14.9","25.2","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Ven 19","2.0","16.2","27.0","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Sab 20","2.0","16.4","28.3","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Dom 21","0.0","17.7","29.6","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Lun 22","0.0","17.6","31.5","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mar 23","0.0","18.6","31.6","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mer 24","0.0","18.0","32.7","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Gio 25","0.0","19.4","32.7","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Ven 26","5.0","19.8","31.6","https://www.3bmeteo.com/images/set_icone/7/28.png","#1461A1","mm"
"Sab 27","2.0","18.0","26.9","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Dom 28","63.1","16.0","22.0","https://www.3bmeteo.com/images/set_icone/7/63.png","#1461A1","mm"
"Lun 29","0.0","13.5","26.8","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Mar 30","3.0","15.4","27.7","https://www.3bmeteo.com/images/set_icone/7/28.png","#1461A1","mm"
"Mer 31","0.0","17.4","28.4","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
