"date","prec","tmin","tmax","bullet","color","um"
"Ven 1","0.6","9.1","15.8","https://www.3bmeteo.com/images/set_icone/7/9.png","#1461A1","mm"
"Sab 2","0.8","10.2","17.3","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Dom 3","10.9","10.9","17.1","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Lun 4","0.0","9.9","17.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mar 5","0.0","10.5","17.7","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Mer 6","15.6","12.7","19.5","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Gio 7","0.0","9.5","19.2","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Ven 8","0.0","11.1","18.7","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Sab 9","0.0","11.6","18.9","https://www.3bmeteo.com/images/set_icone/7/51.png","#1461A1","mm"
"Dom 10","4.3","12.6","19.6","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Lun 11","7.4","11.6","17.1","https://www.3bmeteo.com/images/set_icone/7/28.png","#1461A1","mm"
"Mar 12","0.0","10.7","18.2","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Mer 13","0.0","11.3","24.3","https://www.3bmeteo.com/images/set_icone/7/51.png","#1461A1","mm"
"Gio 14","0.0","17.8","24.7","https://www.3bmeteo.com/images/set_icone/7/52.png","#1461A1","mm"
"Ven 15","0.7","15.6","21.9","https://www.3bmeteo.com/images/set_icone/7/51.png","#1461A1","mm"
"Sab 16","0.0","16.9","27.6","https://www.3bmeteo.com/images/set_icone/7/52.png","#1461A1","mm"
"Dom 17","1.1","18.5","24.6","https://www.3bmeteo.com/images/set_icone/7/68.png","#1461A1","mm"
"Lun 18","0.5","17.4","25.1","https://www.3bmeteo.com/images/set_icone/7/51.png","#1461A1","mm"
"Mar 19","3.0","12.1","19.2","https://www.3bmeteo.com/images/set_icone/7/28.png","#1461A1","mm"
"Mer 20","12.1","10.3","15.9","https://www.3bmeteo.com/images/set_icone/7/8.png","#1461A1","mm"
"Gio 21","2.4","10.6","19.9","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Ven 22","0.0","12.1","21.3","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Sab 23","0.0","14.3","22.0","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Dom 24","0.0","13.5","20.7","https://www.3bmeteo.com/images/set_icone/7/51.png","#1461A1","mm"
"Lun 25","0.0","13.8","20.7","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Mar 26","0.0","10.7","18.6","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Mer 27","0.0","9.1","16.6","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Gio 28","3.0","9.8","18.3","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Ven 29","8.1","9.5","15.2","https://www.3bmeteo.com/images/set_icone/7/69.png","#1461A1","mm"
"Sab 30","25.4","8.4","12.5","https://www.3bmeteo.com/images/set_icone/7/54.png","#1461A1","mm"
"Dom 31","7.5","8.6","14.4","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
