"date","prec","tmin","tmax","bullet","color","um"
"Dom 1","5.0","4.1","10.4","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Lun 2","19.7","5.9","10.7","https://www.3bmeteo.com/images/set_icone/7/8.png","#1461A1","mm"
"Mar 3","17.0","2.3","7.8","https://www.3bmeteo.com/images/set_icone/7/8.png","#1461A1","mm"
"Mer 4","2.4","1.7","7.2","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Gio 5","0.3","1.4","8.4","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Ven 6","22.9","3.6","8.8","https://www.3bmeteo.com/images/set_icone/7/54.png","#1461A1","mm"
"Sab 7","18.5","2.9","6.9","https://www.3bmeteo.com/images/set_icone/7/29.png","#1461A1","mm"
"Dom 8","4.1","2.8","7.9","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Lun 9","0.0","2.2","7.7","https://www.3bmeteo.com/images/set_icone/7/51.png","#1461A1","mm"
"Mar 10","0.0","1.9","9.3","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Mer 11","0.0","5.8","13.8","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Gio 12","0.0","7.7","14.2","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Ven 13","0.0","8.0","12.9","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Sab 14","0.0","8.9","14.6","https://www.3bmeteo.com/images/set_icone/7/51.png","#1461A1","mm"
"Dom 15","0.0","5.6","12.2","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Lun 16","0.0","5.2","13.6","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Mar 17","0.0","7.1","12.3","https://www.3bmeteo.com/images/set_icone/7/51.png","#1461A1","mm"
"Mer 18","0.0","7.1","13.2","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Gio 19","0.0","7.8","14.1","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Ven 20","0.0","8.2","13.7","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Sab 21","0.0","7.7","13.9","https://www.3bmeteo.com/images/set_icone/7/51.png","#1461A1","mm"
"Dom 22","0.8","6.3","14.0","https://www.3bmeteo.com/images/set_icone/7/51.png","#1461A1","mm"
"Lun 23","0.5","-2.2","6.3","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Mar 24","4.2","-3.0","3.3","https://www.3bmeteo.com/images/set_icone/7/18.png","#1461A1","mm"
"Mer 25","7.7","-1.8","3.3","https://www.3bmeteo.com/images/set_icone/7/16.png","#1461A1","mm"
"Gio 26","13.6","2.9","6.9","https://www.3bmeteo.com/images/set_icone/7/17.png","#1461A1","mm"
"Ven 27","10.6","4.9","8.6","https://www.3bmeteo.com/images/set_icone/7/8.png","#1461A1","mm"
"Sab 28","3.3","3.9","8.5","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Dom 29","10.9","3.5","8.8","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Lun 30","5.1","5.6","10.0","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Mar 31","19.0","3.4","9.3","https://www.3bmeteo.com/images/set_icone/7/17.png","#1461A1","mm"
