"date","prec","tmin","tmax","bullet","color","um"
"Ven 1","0.0","8.1","11.3","https://www.3bmeteo.com/images/set_icone/7/47.png","#1461A1","mm"
"Sab 2","2.0","7.9","13.2","https://www.3bmeteo.com/images/set_icone/7/49.png","#1461A1","mm"
"Dom 3","89.0","11.0","13.3","https://www.3bmeteo.com/images/set_icone/7/8.png","#1461A1","mm"
"Lun 4","13.0","9.5","14.2","https://www.3bmeteo.com/images/set_icone/7/47.png","#1461A1","mm"
"Mar 5","46.0","10.7","14.0","https://www.3bmeteo.com/images/set_icone/7/7.png","#1461A1","mm"
"Mer 6","18.0","8.0","11.5","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Gio 7","1.0","6.0","12.4","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Ven 8","32.0","6.7","10.0","https://www.3bmeteo.com/images/set_icone/7/7.png","#1461A1","mm"
"Sab 9","6.8","5.0","7.2","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Dom 10","4.0","5.0","9.2","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Lun 11","11.0","6.8","11.0","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Mar 12","14.0","7.0","11.0","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Mer 13","9.0","7.0","10.3","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Gio 14","14.0","5.9","10.0","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Ven 15","43.0","7.0","11.0","https://www.3bmeteo.com/images/set_icone/7/8.png","#1461A1","mm"
"Sab 16","50.0","9.0","12.3","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Dom 17","61.0","4.5","12.2","https://www.3bmeteo.com/images/set_icone/7/56.png","#1461A1","mm"
"Lun 18","3.0","3.6","9.0","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Mar 19","22.0","4.0","8.3","https://www.3bmeteo.com/images/set_icone/7/8.png","#1461A1","mm"
"Mer 20","5.0","5.0","10.3","https://www.3bmeteo.com/images/set_icone/7/47.png","#1461A1","mm"
"Gio 21","4.0","4.6","9.0","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Ven 22","6.0","5.7","9.3","https://www.3bmeteo.com/images/set_icone/7/9.png","#1461A1","mm"
"Sab 23","4.0","5.7","12.0","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Dom 24","50.0","7.7","9.1","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Lun 25","0.9","6.7","13.1","https://www.3bmeteo.com/images/set_icone/7/9.png","#1461A1","mm"
"Mar 26","0.0","8.4","14.3","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mer 27","10.2","8.0","10.1","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Gio 28","10.9","7.0","10.0","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Ven 29","2.3","7.0","10.0","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Sab 30","0.0","6.7","11.3","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
