"date","prec","tmin","tmax","bullet","color","um"
"Mar 1","0.0","11.8","21.3","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mer 2","33.0","12.8","19.5","https://www.3bmeteo.com/images/set_icone/7/7.png","#1461A1","mm"
"Gio 3","13.0","11.3","15.4","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Ven 4","0.0","6.0","17.6","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Sab 5","0.0","8.9","15.2","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Dom 6","2.0","10.5","17.2","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Lun 7","4.0","9.8","15.3","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Mar 8","0.0","7.6","18.5","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mer 9","0.0","8.7","19.5","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Gio 10","0.0","10.0","18.4","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Ven 11","0.0","8.8","21.5","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Sab 12","0.0","9.6","22.8","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Dom 13","0.0","9.9","22.6","https://www.3bmeteo.com/images/set_icone/7/51.png","#1461A1","mm"
"Lun 14","0.0","10.0","19.3","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Mar 15","6.0","10.8","20.4","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Mer 16","12.0","11.2","18.6","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Gio 17","0.0","8.7","17.5","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Ven 18","0.0","8.0","17.5","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Sab 19","0.0","7.1","17.5","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Dom 20","0.0","9.8","19.4","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Lun 21","0.0","11.7","24.6","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Mar 22","0.0","13.0","22.4","https://www.3bmeteo.com/images/set_icone/7/51.png","#1461A1","mm"
"Mer 23","0.0","11.7","21.4","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Gio 24","1.0","12.0","20.3","https://www.3bmeteo.com/images/set_icone/7/47.png","#1461A1","mm"
"Ven 25","7.0","12.9","19.5","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Sab 26","0.0","11.0","20.5","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Dom 27","0.0","10.6","20.4","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Lun 28","0.0","10.5","19.4","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Mar 29","0.0","9.9","16.3","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mer 30","0.0","10.5","15.5","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Gio 31","5.0","9.0","14.3","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
