"date","prec","tmin","tmax","bullet","color","um"
"Dom 1","6.0","18.0","23.0","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Lun 2","18.1","17.5","21.0","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Mar 3","3.0","14.9","23.6","https://www.3bmeteo.com/images/set_icone/7/28.png","#1461A1","mm"
"Mer 4","0.0","13.6","24.7","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Gio 5","0.0","13.7","23.6","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Ven 6","2.0","13.8","22.4","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Sab 7","2.0","12.8","19.2","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Dom 8","2.0","11.8","20.4","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Lun 9","1.0","10.7","21.2","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mar 10","0.0","9.5","25.4","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mer 11","0.0","11.9","23.8","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Gio 12","0.0","13.5","25.7","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Ven 13","0.0","14.3","25.9","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Sab 14","0.0","14.2","26.8","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Dom 15","0.0","15.2","26.8","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Lun 16","0.0","16.4","24.7","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Mar 17","0.0","15.9","25.0","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Mer 18","0.0","14.7","23.6","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Gio 19","14.0","13.7","20.4","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Ven 20","0.0","11.7","20.8","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Sab 21","0.0","11.6","20.7","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Dom 22","9.0","13.0","18.0","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Lun 23","17.0","14.9","21.6","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Mar 24","0.0","10.8","21.9","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mer 25","2.0","11.8","20.7","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Gio 26","3.0","11.9","20.6","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Ven 27","0.0","12.1","23.1","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Sab 28","0.0","12.7","23.7","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Dom 29","0.0","13.9","21.7","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Lun 30","0.0","12.8","21.7","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
