"date","prec","tmin","tmax","bullet","color","um"
"Dom 1","2.0","6.4","21.0","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Lun 2","3.0","5.6","24.4","https://www.3bmeteo.com/images/set_icone/7/28.png","#1461A1","mm"
"Mar 3","9.0","10.7","23.6","https://www.3bmeteo.com/images/set_icone/7/28.png","#1461A1","mm"
"Mer 4","3.0","7.5","25.2","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Gio 5","0.0","9.0","26.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Ven 6","0.0","8.0","29.6","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Sab 7","0.0","12.2","28.9","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Dom 8","0.0","13.0","31.0","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Lun 9","0.0","12.3","32.1","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Mar 10","0.0","11.4","33.3","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mer 11","0.0","15.3","33.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Gio 12","3.0","13.4","33.1","https://www.3bmeteo.com/images/set_icone/7/28.png","#1461A1","mm"
"Ven 13","8.0","15.5","31.2","https://www.3bmeteo.com/images/set_icone/7/4.png","#1461A1","mm"
"Sab 14","7.0","14.5","25.8","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Dom 15","7.0","15.0","22.6","https://www.3bmeteo.com/images/set_icone/7/9.png","#1461A1","mm"
"Lun 16","18.0","13.4","20.3","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Mar 17","0.0","10.9","21.7","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Mer 18","0.0","12.3","22.6","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Gio 19","0.0","10.9","24.8","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Ven 20","0.0","9.9","26.2","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Sab 21","0.0","11.0","28.2","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Dom 22","0.0","10.9","29.2","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Lun 23","0.0","13.6","28.9","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mar 24","0.0","13.4","31.2","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mer 25","14.0","15.8","25.5","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Gio 26","17.1","11.5","24.9","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Ven 27","3.0","12.3","28.2","https://www.3bmeteo.com/images/set_icone/7/28.png","#1461A1","mm"
"Sab 28","0.0","12.1","27.9","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Dom 29","3.0","12.1","28.9","https://www.3bmeteo.com/images/set_icone/7/28.png","#1461A1","mm"
"Lun 30","51.1","12.9","25.9","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
