"date","prec","tmin","tmax","bullet","color","um"
"Gio 1","0.0","8.9","30.3","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Ven 2","0.0","8.3","28.3","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Sab 3","0.0","7.4","30.5","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Dom 4","0.0","9.4","29.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Lun 5","11.0","8.4","31.0","https://www.3bmeteo.com/images/set_icone/7/28.png","#1461A1","mm"
"Mar 6","10.0","12.7","24.5","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Mer 7","0.0","7.1","24.9","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Gio 8","0.0","8.1","26.8","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Ven 9","0.0","8.3","30.6","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Sab 10","0.0","9.3","29.1","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Dom 11","0.0","10.6","31.1","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Lun 12","0.0","9.5","33.7","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Mar 13","0.0","11.9","33.3","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Mer 14","0.0","12.3","31.9","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Gio 15","16.0","11.2","32.7","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Ven 16","0.0","13.7","33.2","https://www.3bmeteo.com/images/set_icone/7/52.png","#1461A1","mm"
"Sab 17","0.0","15.1","28.5","https://www.3bmeteo.com/images/set_icone/7/41.png","#1461A1","mm"
"Dom 18","0.0","12.2","27.7","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Lun 19","0.0","8.5","30.1","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Mar 20","0.0","10.8","32.4","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mer 21","0.0","10.8","33.3","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Gio 22","0.0","11.2","35.4","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Ven 23","0.0","12.3","32.1","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Sab 24","0.0","13.9","31.7","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Dom 25","0.0","15.1","30.8","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Lun 26","0.0","13.6","32.8","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mar 27","3.0","15.4","34.1","https://www.3bmeteo.com/images/set_icone/7/28.png","#1461A1","mm"
"Mer 28","47.9","14.9","29.1","https://www.3bmeteo.com/images/set_icone/7/63.png","#1461A1","mm"
"Gio 29","2.0","13.8","25.7","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Ven 30","9.0","11.8","19.7","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
