"date","prec","tmin","tmax","bullet","color","um"
"Mer 1","0.0","12.5","20.1","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Gio 2","15.0","9.5","14.1","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Ven 3","0.0","7.6","18.2","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Sab 4","0.0","8.4","19.4","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Dom 5","17.1","8.2","14.1","https://www.3bmeteo.com/images/set_icone/7/63.png","#1461A1","mm"
"Lun 6","8.0","7.6","15.1","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Mar 7","22.0","7.0","14.1","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Mer 8","8.0","8.6","16.2","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Gio 9","0.0","8.5","20.3","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Ven 10","6.0","9.8","16.2","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Sab 11","5.0","7.8","14.1","https://www.3bmeteo.com/images/set_icone/7/28.png","#1461A1","mm"
"Dom 12","10.0","5.1","15.5","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Lun 13","2.0","5.9","15.5","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mar 14","0.0","5.6","18.5","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mer 15","3.0","7.6","16.4","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Gio 16","30.0","8.0","14.0","https://www.3bmeteo.com/images/set_icone/7/8.png","#1461A1","mm"
"Ven 17","15.0","7.1","10.3","https://www.3bmeteo.com/images/set_icone/7/4.png","#1461A1","mm"
"Sab 18","2.0","5.1","16.3","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Dom 19","15.0","5.0","13.7","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Lun 20","18.0","4.9","11.2","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Mar 21","1.0","3.9","12.3","https://www.3bmeteo.com/images/set_icone/7/9.png","#1461A1","mm"
"Mer 22","2.0","3.8","15.8","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Gio 23","9.0","5.8","14.3","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Ven 24","4.0","5.0","11.3","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Sab 25","19.0","0.7","6.5","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Dom 26","7.0","0.3","11.6","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Lun 27","0.0","1.7","12.4","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Mar 28","4.0","5.5","11.0","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Mer 29","6.0","5.3","11.3","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Gio 30","14.0","3.9","10.3","https://www.3bmeteo.com/images/set_icone/7/4.png","#1461A1","mm"
"Ven 31","4.0","3.3","12.3","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
