"date","prec","tmin","tmax","bullet","color","um"
"Mer 1","0.0","18.9","30.7","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Gio 2","11.0","18.7","29.8","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Ven 3","0.0","16.6","26.5","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Sab 4","0.0","16.5","27.5","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Dom 5","0.0","17.5","28.4","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Lun 6","0.0","16.9","28.3","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mar 7","10.0","17.3","28.6","https://www.3bmeteo.com/images/set_icone/7/28.png","#1461A1","mm"
"Mer 8","11.0","16.5","26.6","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Gio 9","2.0","15.6","27.7","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Ven 10","0.0","15.6","24.3","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Sab 11","0.0","15.4","26.5","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Dom 12","0.0","14.5","26.4","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Lun 13","4.0","13.5","27.1","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Mar 14","18.0","14.0","19.1","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Mer 15","2.0","11.6","22.7","https://www.3bmeteo.com/images/set_icone/7/9.png","#1461A1","mm"
"Gio 16","0.0","12.6","23.4","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Ven 17","0.0","12.8","24.5","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Sab 18","0.0","13.6","25.8","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Dom 19","0.0","13.5","26.8","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Lun 20","0.0","13.5","25.2","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mar 21","0.0","13.8","27.8","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mer 22","23.1","15.7","25.9","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Gio 23","10.0","15.3","26.9","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Ven 24","5.0","14.5","26.7","https://www.3bmeteo.com/images/set_icone/7/28.png","#1461A1","mm"
"Sab 25","17.0","11.9","23.0","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Dom 26","6.0","8.9","15.3","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Lun 27","0.0","6.9","20.8","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mar 28","0.0","9.8","22.3","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mer 29","0.0","12.5","26.6","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Gio 30","4.0","13.5","24.4","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Ven 31","17.1","11.9","21.3","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
