"date","prec","tmin","tmax","bullet","color","um"
"Lun 1","0.0","9.0","16.6","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Mar 2","0.5","9.7","17.7","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Mer 3","0.0","10.8","17.9","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Gio 4","13.8","8.9","14.3","https://www.3bmeteo.com/images/set_icone/7/29.png","#1461A1","mm"
"Ven 5","48.8","9.3","14.9","https://www.3bmeteo.com/images/set_icone/7/63.png","#1461A1","mm"
"Sab 6","0.0","9.9","17.6","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Dom 7","2.0","11.1","19.8","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Lun 8","11.7","10.4","16.8","https://www.3bmeteo.com/images/set_icone/7/8.png","#1461A1","mm"
"Mar 9","25.0","10.1","16.0","https://www.3bmeteo.com/images/set_icone/7/7.png","#1461A1","mm"
"Mer 10","14.3","7.6","13.0","https://www.3bmeteo.com/images/set_icone/7/7.png","#1461A1","mm"
"Gio 11","1.4","6.6","14.8","https://www.3bmeteo.com/images/set_icone/7/68.png","#1461A1","mm"
"Ven 12","0.0","7.0","17.0","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Sab 13","9.9","9.8","20.4","https://www.3bmeteo.com/images/set_icone/7/69.png","#1461A1","mm"
"Dom 14","27.2","10.0","15.5","https://www.3bmeteo.com/images/set_icone/7/7.png","#1461A1","mm"
"Lun 15","18.5","9.9","16.7","https://www.3bmeteo.com/images/set_icone/7/7.png","#1461A1","mm"
"Mar 16","13.0","10.6","18.5","https://www.3bmeteo.com/images/set_icone/7/8.png","#1461A1","mm"
"Mer 17","8.4","10.4","17.4","https://www.3bmeteo.com/images/set_icone/7/69.png","#1461A1","mm"
"Gio 18","0.0","11.4","16.6","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Ven 19","0.0","11.5","17.9","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Sab 20","2.2","9.9","18.9","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Dom 21","18.7","12.1","18.5","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Lun 22","0.5","13.6","21.5","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Mar 23","0.0","14.8","22.7","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Mer 24","0.0","14.3","24.5","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Gio 25","0.0","15.0","23.7","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Ven 26","0.0","14.4","24.2","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Sab 27","0.0","15.1","24.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Dom 28","0.0","15.7","24.9","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Lun 29","0.0","14.6","24.0","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Mar 30","0.0","14.6","23.9","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
