"date","prec","tmin","tmax","bullet","color","um"
"Mar 1","0.0","15.9","26.6","https://www.3bmeteo.com/images/set_icone/7/41.png","#1461A1","mm"
"Mer 2","16.1","15.9","22.4","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Gio 3","0.0","12.9","19.8","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Ven 4","0.0","6.8","22.5","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Sab 5","2.0","12.0","23.0","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Dom 6","0.0","9.9","23.6","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Lun 7","4.0","14.0","21.7","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Mar 8","0.0","10.0","23.6","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Mer 9","0.0","9.2","24.4","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Gio 10","6.0","15.2","23.8","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Ven 11","0.0","9.6","25.6","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Sab 12","0.0","10.1","26.8","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Dom 13","0.0","13.0","24.7","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Lun 14","0.0","14.3","24.7","https://www.3bmeteo.com/images/set_icone/7/47.png","#1461A1","mm"
"Mar 15","6.0","17.0","23.6","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Mer 16","0.0","14.3","21.8","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Gio 17","0.0","11.0","21.4","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Ven 18","3.0","10.5","22.7","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Sab 19","0.0","15.1","23.7","https://www.3bmeteo.com/images/set_icone/7/47.png","#1461A1","mm"
"Dom 20","0.0","14.8","22.3","https://www.3bmeteo.com/images/set_icone/7/49.png","#1461A1","mm"
"Lun 21","0.0","16.2","28.2","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Mar 22","0.0","13.8","27.6","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Mer 23","0.0","12.9","26.5","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Gio 24","12.0","13.0","18.3","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Ven 25","0.0","14.0","22.8","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Sab 26","0.0","12.0","25.8","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Dom 27","0.0","10.8","24.7","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Lun 28","0.0","10.9","21.5","https://www.3bmeteo.com/images/set_icone/7/52.png","#1461A1","mm"
"Mar 29","5.0","14.2","19.4","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Mer 30","10.0","12.4","18.3","https://www.3bmeteo.com/images/set_icone/7/9.png","#1461A1","mm"
"Gio 31","4.0","11.3","16.3","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
