"date","prec","tmin","tmax","bullet","color","um"
"Dom 1","4.0","17.6","32.7","https://www.3bmeteo.com/images/set_icone/7/28.png","#1461A1","mm"
"Lun 2","8.0","18.9","31.7","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Mar 3","0.0","16.7","29.8","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mer 4","0.0","14.3","29.9","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Gio 5","0.0","12.0","33.3","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Ven 6","3.0","15.9","27.5","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Sab 7","1.0","14.0","26.6","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Dom 8","2.0","14.2","24.5","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Lun 9","2.0","12.5","28.0","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Mar 10","0.0","10.6","29.1","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mer 11","0.0","13.5","30.1","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Gio 12","0.0","11.4","32.2","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Ven 13","0.0","12.1","32.1","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Sab 14","0.0","12.2","33.1","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Dom 15","0.0","13.6","32.8","https://www.3bmeteo.com/images/set_icone/7/51.png","#1461A1","mm"
"Lun 16","0.0","14.2","33.2","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Mar 17","0.0","13.3","32.2","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mer 18","0.0","15.7","30.7","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Gio 19","3.0","17.6","25.5","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Ven 20","0.0","12.6","27.2","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Sab 21","0.0","7.2","28.3","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Dom 22","10.0","15.7","21.0","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Lun 23","28.0","16.7","22.0","https://www.3bmeteo.com/images/set_icone/7/7.png","#1461A1","mm"
"Mar 24","0.0","12.1","27.3","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Mer 25","2.0","14.8","25.3","https://www.3bmeteo.com/images/set_icone/7/9.png","#1461A1","mm"
"Gio 26","0.0","13.6","26.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Ven 27","0.0","12.9","25.9","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Sab 28","0.0","14.2","26.4","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Dom 29","0.0","15.8","26.6","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Lun 30","0.0","15.3","27.7","https://www.3bmeteo.com/images/set_icone/7/47.png","#1461A1","mm"
