"date","prec","tmin","tmax","bullet","color","um"
"Dom 1","0.0","8.7","23.9","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Lun 2","0.0","8.8","25.2","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mar 3","5.0","13.0","25.7","https://www.3bmeteo.com/images/set_icone/7/28.png","#1461A1","mm"
"Mer 4","0.0","11.4","26.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Gio 5","0.0","12.2","26.8","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Ven 6","0.0","12.2","29.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Sab 7","0.0","14.1","32.1","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Dom 8","0.0","15.4","33.1","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Lun 9","0.0","15.2","34.1","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Mar 10","0.0","15.1","35.2","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mer 11","0.0","18.5","35.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Gio 12","11.0","17.4","35.2","https://www.3bmeteo.com/images/set_icone/7/28.png","#1461A1","mm"
"Ven 13","11.0","18.0","33.1","https://www.3bmeteo.com/images/set_icone/7/28.png","#1461A1","mm"
"Sab 14","6.0","18.0","28.7","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Dom 15","14.0","16.5","24.7","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Lun 16","26.1","15.9","22.4","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Mar 17","0.0","14.6","23.5","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Mer 18","8.0","13.3","23.6","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Gio 19","2.0","13.1","25.7","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Ven 20","0.0","13.6","26.7","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Sab 21","0.0","14.0","28.9","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Dom 22","0.0","14.8","31.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Lun 23","0.0","15.6","30.9","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Mar 24","0.0","15.5","32.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mer 25","5.0","18.6","27.3","https://www.3bmeteo.com/images/set_icone/7/28.png","#1461A1","mm"
"Gio 26","17.1","15.4","25.4","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Ven 27","3.0","15.0","28.8","https://www.3bmeteo.com/images/set_icone/7/28.png","#1461A1","mm"
"Sab 28","0.0","15.3","28.5","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Dom 29","0.0","15.8","29.6","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Lun 30","46.9","16.5","26.5","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
