"date","prec","tmin","tmax","bullet","color","um"
"Lun 1","0.0","9.2","23.7","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Mar 2","0.0","7.5","27.1","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Mer 3","0.6","8.9","25.7","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Gio 4","14.0","10.1","23.1","https://www.3bmeteo.com/images/set_icone/7/29.png","#1461A1","mm"
"Ven 5","32.6","14.4","21.7","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Sab 6","0.0","11.2","24.3","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Dom 7","0.0","11.2","24.9","https://www.3bmeteo.com/images/set_icone/7/51.png","#1461A1","mm"
"Lun 8","16.8","12.9","21.3","https://www.3bmeteo.com/images/set_icone/7/8.png","#1461A1","mm"
"Mar 9","15.1","7.3","21.4","https://www.3bmeteo.com/images/set_icone/7/7.png","#1461A1","mm"
"Mer 10","17.3","11.3","17.8","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Gio 11","6.9","11.5","19.3","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Ven 12","0.0","9.7","24.6","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Sab 13","6.9","12.3","21.8","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Dom 14","12.7","14.2","22.7","https://www.3bmeteo.com/images/set_icone/7/8.png","#1461A1","mm"
"Lun 15","4.1","12.3","22.0","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Mar 16","4.2","15.8","27.4","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Mer 17","11.5","12.7","22.8","https://www.3bmeteo.com/images/set_icone/7/69.png","#1461A1","mm"
"Gio 18","0.0","12.3","23.8","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Ven 19","1.5","10.0","24.9","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Sab 20","0.0","10.7","25.3","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Dom 21","10.0","11.4","25.8","https://www.3bmeteo.com/images/set_icone/7/28.png","#1461A1","mm"
"Lun 22","0.0","14.1","28.3","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Mar 23","0.0","11.8","29.9","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Mer 24","0.0","10.6","31.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Gio 25","0.0","14.7","30.0","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Ven 26","0.0","14.4","30.3","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Sab 27","0.0","14.6","31.6","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Dom 28","0.0","14.1","32.5","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Lun 29","0.0","14.1","30.5","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Mar 30","0.0","15.6","32.3","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
