"date","prec","tmin","tmax","bullet","color","um"
"Gio 1","0.0","4.8","13.1","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Ven 2","0.0","6.0","12.1","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Sab 3","0.0","6.6","10.1","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Dom 4","0.0","4.9","9.2","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Lun 5","6.0","3.7","7.1","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Mar 6","7.8","1.0","4.1","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Mer 7","0.0","-0.2","6.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Gio 8","0.0","0.9","6.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Ven 9","0.0","1.6","6.2","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Sab 10","0.0","0.3","5.0","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Dom 11","0.0","1.0","9.2","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Lun 12","0.0","3.5","12.1","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Mar 13","0.0","4.9","11.0","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Mer 14","0.0","4.8","14.1","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Gio 15","0.0","8.0","13.1","https://www.3bmeteo.com/images/set_icone/7/41.png","#1461A1","mm"
"Ven 16","0.0","7.0","12.1","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Sab 17","0.0","6.0","11.1","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Dom 18","0.0","6.0","9.0","https://www.3bmeteo.com/images/set_icone/7/49.png","#1461A1","mm"
"Lun 19","4.0","5.8","10.1","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Mar 20","0.0","5.0","8.1","https://www.3bmeteo.com/images/set_icone/7/47.png","#1461A1","mm"
"Mer 21","0.0","5.8","13.0","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Gio 22","0.0","6.8","16.1","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Ven 23","0.0","6.9","14.1","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Sab 24","0.0","6.8","13.2","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Dom 25","2.0","5.8","12.1","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Lun 26","0.0","5.3","14.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mar 27","0.0","6.2","15.0","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Mer 28","0.0","6.4","17.1","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Gio 29","0.0","8.7","16.0","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Ven 30","0.0","8.4","13.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Sab 31","0.0","7.2","15.1","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
