"date","prec","tmin","tmax","bullet","color","um"
"Lun 1","0.0","2.2","22.0","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Mar 2","0.0","4.0","21.0","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Mer 3","1.0","7.9","15.0","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Gio 4","32.0","3.1","14.3","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Ven 5","1.0","2.7","13.2","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Sab 6","0.0","0.1","18.1","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Dom 7","4.0","4.4","14.0","https://www.3bmeteo.com/images/set_icone/7/47.png","#1461A1","mm"
"Lun 8","0.0","5.0","15.0","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Mar 9","2.0","6.7","17.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mer 10","2.0","5.1","16.2","https://www.3bmeteo.com/images/set_icone/7/47.png","#1461A1","mm"
"Gio 11","11.0","7.6","15.0","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Ven 12","0.0","6.0","17.1","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Sab 13","0.0","6.7","14.0","https://www.3bmeteo.com/images/set_icone/7/47.png","#1461A1","mm"
"Dom 14","11.0","2.7","12.1","https://www.3bmeteo.com/images/set_icone/7/47.png","#1461A1","mm"
"Lun 15","0.0","6.5","16.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mar 16","0.0","3.3","19.2","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Mer 17","0.0","3.7","20.1","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Gio 18","0.0","4.4","20.0","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Ven 19","0.0","6.1","20.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Sab 20","0.0","6.0","21.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Dom 21","0.0","10.1","23.0","https://www.3bmeteo.com/images/set_icone/7/52.png","#1461A1","mm"
"Lun 22","7.0","11.6","22.0","https://www.3bmeteo.com/images/set_icone/7/9.png","#1461A1","mm"
"Mar 23","9.0","11.5","17.0","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Mer 24","2.0","12.2","22.0","https://www.3bmeteo.com/images/set_icone/7/47.png","#1461A1","mm"
"Gio 25","2.0","10.6","24.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Ven 26","10.0","10.2","20.0","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Sab 27","0.0","9.4","19.0","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Dom 28","3.0","7.5","17.0","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Lun 29","11.0","6.8","15.1","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Mar 30","3.0","4.8","19.1","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
