"date","prec","tmin","tmax","bullet","color","um"
"Gio 1","15.0","8.9","14.1","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Ven 2","2.0","9.7","14.1","https://www.3bmeteo.com/images/set_icone/7/9.png","#1461A1","mm"
"Sab 3","7.0","10.9","17.1","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Dom 4","4.0","10.6","16.1","https://www.3bmeteo.com/images/set_icone/7/9.png","#1461A1","mm"
"Lun 5","5.0","7.9","17.0","https://www.3bmeteo.com/images/set_icone/7/9.png","#1461A1","mm"
"Mar 6","6.0","9.5","16.1","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Mer 7","18.0","9.3","15.2","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Gio 8","0.0","6.7","16.1","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Ven 9","0.0","5.8","16.1","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Sab 10","0.0","6.0","16.1","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Dom 11","0.0","7.1","15.2","https://www.3bmeteo.com/images/set_icone/7/47.png","#1461A1","mm"
"Lun 12","0.0","5.9","14.0","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Mar 13","0.0","4.8","15.0","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Mer 14","0.0","3.8","13.0","https://www.3bmeteo.com/images/set_icone/7/47.png","#1461A1","mm"
"Gio 15","0.0","4.1","15.2","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Ven 16","0.0","4.3","12.2","https://www.3bmeteo.com/images/set_icone/7/47.png","#1461A1","mm"
"Sab 17","4.0","3.2","8.1","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Dom 18","3.0","0.3","7.3","https://www.3bmeteo.com/images/set_icone/7/9.png","#1461A1","mm"
"Lun 19","3.0","-1.5","7.1","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Mar 20","26.0","0.4","6.0","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Mer 21","7.0","-0.1","11.0","https://www.3bmeteo.com/images/set_icone/7/9.png","#1461A1","mm"
"Gio 22","0.0","3.9","12.2","https://www.3bmeteo.com/images/set_icone/7/47.png","#1461A1","mm"
"Ven 23","6.0","3.6","10.0","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Sab 24","8.0","6.7","13.0","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Dom 25","16.0","6.7","10.0","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Lun 26","8.0","4.8","10.0","https://www.3bmeteo.com/images/set_icone/7/9.png","#1461A1","mm"
"Mar 27","2.6","2.4","10.1","https://www.3bmeteo.com/images/set_icone/7/9.png","#1461A1","mm"
"Mer 28","0.0","0.9","9.0","https://www.3bmeteo.com/images/set_icone/7/1.png","#1461A1","mm"
"Gio 29","0.0","-0.9","9.0","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Ven 30","0.0","-2.7","8.0","https://www.3bmeteo.com/images/set_icone/7/47.png","#1461A1","mm"
