"date","prec","tmin","tmax","bullet","color","um"
"Mer 1","15.0","17.1","35.6","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Gio 2","15.0","18.2","33.6","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Ven 3","0.0","17.4","34.6","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Sab 4","0.0","16.8","34.4","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Dom 5","0.0","16.6","34.9","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Lun 6","10.0","15.9","35.5","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Mar 7","18.1","17.2","33.1","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Mer 8","8.0","17.3","32.1","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Gio 9","0.0","15.0","33.7","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Ven 10","0.0","16.7","30.6","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Sab 11","0.0","15.0","31.4","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Dom 12","2.0","13.6","31.3","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Lun 13","3.0","15.8","29.6","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Mar 14","61.9","16.9","24.4","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Mer 15","5.0","14.4","28.8","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Gio 16","0.0","13.6","32.8","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Ven 17","0.0","12.5","32.9","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Sab 18","0.0","12.6","33.2","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Dom 19","0.0","13.8","33.2","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Lun 20","0.0","14.6","34.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mar 21","0.0","13.6","33.8","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mer 22","2.0","13.7","32.9","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Gio 23","9.0","13.9","33.0","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
"Ven 24","0.0","12.6","32.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Sab 25","12.0","15.7","25.8","https://www.3bmeteo.com/images/set_icone/7/4.png","#1461A1","mm"
"Dom 26","37.0","13.7","26.5","https://www.3bmeteo.com/images/set_icone/7/4.png","#1461A1","mm"
"Lun 27","0.0","7.9","29.1","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mar 28","0.0","8.4","32.3","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mer 29","0.0","10.9","32.9","https://www.3bmeteo.com/images/set_icone/7/51.png","#1461A1","mm"
"Gio 30","6.0","13.1","29.8","https://www.3bmeteo.com/images/set_icone/7/28.png","#1461A1","mm"
"Ven 31","8.0","13.7","26.1","https://www.3bmeteo.com/images/set_icone/7/5.png","#1461A1","mm"
