"","Date","Rainfall_Le_Croci","Rainfall_Cavallina","Rainfall_S_Agata","Rainfall_Mangona","Rainfall_S_Piero","Rainfall_Vernio","Rainfall_Stia","Rainfall_Consuma","Rainfall_Incisa","Rainfall_Montevarchi","Rainfall_S_Savino","Rainfall_Laterina","Rainfall_Bibbiena","Rainfall_Camaldoli","Temperature_Firenze","Hydrometry_Nave_di_Rosano","Season"
"1",2011-01-02,0,0,0,0,0,0,1,1,0,1,2,1,1,1,6.45,1.87,"Winter"
"2",2011-01-03,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,4.9,1.94,"Winter"
"3",2011-01-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,1.93,"Winter"
"4",2011-01-05,0,0,0,0,0,0,0,0,0,2,0,2,0,0,3.2,1.78,"Winter"
"5",2011-01-06,12.2,14,15.2,26,9.6,28,8,8,0.2,4,1,4,8,8.1,5.35,1.83,"Winter"
"6",2011-01-07,2.2,3.6,4,13.6,1.2,14.4,3,3,0.2,0,0,0,3,3,11.45,1.95,"Winter"
"7",2011-01-08,0,0,0.2,0,0,0.2,6,6,0,0,0,0,6,6,12.1,1.76,"Winter"
"8",2011-01-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.55,1.74,"Winter"
"9",2011-01-10,7.8,3.8,4,7.8,3,5.8,7,7,0,6,3,6,7,7,11.2,1.73,"Winter"
"10",2011-01-11,9.6,5.6,7.6,7,8.2,8.8,2,2,13.4,6,5,6,2,2,9.95,1.83,"Winter"
"11",2011-01-12,0.8,1,1,0.8,1,0.6,0,0,2.6,0,0,0,0,0,9.4,1.81,"Winter"
"12",2011-01-13,0,0,0,0,0.2,0.2,0,0,0.2,0,0,0,0,0,6.9,1.85,"Winter"
"13",2011-01-14,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,7.7,1.71,"Winter"
"14",2011-01-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.95,1.67,"Winter"
"15",2011-01-16,0.4,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,9.55,1.66,"Winter"
"16",2011-01-17,0,0.2,0,0,0.2,0,0,0,0.2,0,0,0,0,0,6.45,1.69,"Winter"
"17",2011-01-18,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,10.6,1.64,"Winter"
"18",2011-01-19,0.8,0.2,0,0,0.4,0,3,3,0,4,1,4,3,3,7.3,1.66,"Winter"
"19",2011-01-20,0.2,0,0.4,0,0.6,0.4,9,7.8,6,7,3,7,9,8.6,6.6,1.66,"Winter"
"20",2011-01-21,0.2,0.2,3.8,0.4,0.6,0,3.8,7.7,0,3,4.3,3,3.8,8.4,4.95,1.71,"Winter"
"21",2011-01-22,0,0,0.2,0,0,0,0.9,2.7,0,1,0.4,0.8,0.9,2.7,4.3,1.58,"Winter"
"22",2011-01-23,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,4.15,1.58,"Winter"
"23",2011-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65,1.69,"Winter"
"24",2011-01-25,0,0,0,0,0,0,0.6,2.6,0,2,0,2,0.6,3,0.75,1.41,"Winter"
"25",2011-01-26,0,0,0,0,0,0,1,1,0.6,3,5,3,1,1,5.6,1.48,"Winter"
"26",2011-01-27,0,0.8,0.2,0,0.4,0.4,0,0,0.8,1,0,1,0,0,7.35,1.55,"Winter"
"27",2011-01-28,0,0,1.2,0,0,0,3,3,0,0,0,0,3,3.4,7.95,1.46,"Winter"
"28",2011-01-29,0,0,0.2,0,0,0,2,2,0,3,4,3,2,2,6,1.45,"Winter"
"29",2011-01-30,3.4,19.4,8.2,5.6,17.2,14.6,8,8.5,14.2,5,5,5,8,9.3,4.35,1.67,"Winter"
"30",2011-01-31,25,0,0,11.4,0.2,0,0,0,8.2,0,0,0,0,0,7.4,1.9,"Winter"
"31",2011-02-01,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,1.96,"Winter"
"32",2011-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.35,1.71,"Winter"
"33",2011-02-03,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,8.85,1.58,"Winter"
"34",2011-02-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9,1.55,"Winter"
"35",2011-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.1,1.57,"Winter"
"36",2011-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,1.6,"Winter"
"37",2011-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.35,1.51,"Winter"
"38",2011-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,1.57,"Winter"
"39",2011-02-09,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,7.8,1.61,"Winter"
"40",2011-02-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3,1.53,"Winter"
"41",2011-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1,1.54,"Winter"
"42",2011-02-12,1.2,0,0,0,0,0,0,0,0,1,0,1,0,0,10.55,1.5,"Winter"
"43",2011-02-13,8.6,2.8,6.6,6.2,3.8,7,1,1,6.6,2,0,2,1,1,9.55,1.54,"Winter"
"44",2011-02-14,0.2,0,0.2,0.2,0,0.4,0,0,1.4,0,0,0,0,0,11.05,1.53,"Winter"
"45",2011-02-15,3.2,2.4,1.4,3,1.8,3,2,2,0,2,0,2,2,2,9.25,1.71,"Winter"
"46",2011-02-16,30.8,31.8,28.2,47,22.4,48.6,21,21,6.2,17,14,17,21,21,9.9,1.92,"Winter"
"47",2011-02-17,21,20.6,19.4,23.2,20,23.2,14,14,22.6,9,4,9,14,14,10.85,2.6,"Winter"
"48",2011-02-18,0.2,0.2,0,0,0.2,0,0,0,4.6,0,0,0,0,0,10.5,2.74,"Winter"
"49",2011-02-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.25,2.41,"Winter"
"50",2011-02-20,8.4,6.2,5.6,8.6,6.4,9.4,7,7,0,7,8,7,7,5.9,8.4,2.15,"Winter"
"51",2011-02-21,2.2,1.6,1.2,0.8,1.6,0.6,7,6.6,11.2,6,7,6,7,6.4,8.2,2.13,"Winter"
"52",2011-02-22,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,7.3,2.12,"Winter"
"53",2011-02-23,0,0,1,0.2,0,0.2,0,0,0,0,0,0,0,0,5.8,2.07,"Winter"
"54",2011-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,1.89,"Winter"
"55",2011-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,1.88,"Winter"
"56",2011-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25,1.62,"Winter"
"57",2011-02-27,7.8,7.2,4.4,3,7.2,4.2,2.8,2.8,0,4,3,4,2.8,3.2,4.35,1.59,"Winter"
