"","Date","Rainfall_Gallicano","Rainfall_Pontetetto","Rainfall_Monte_Serra","Rainfall_Orentano","Rainfall_Borgo_a_Mozzano","Rainfall_Piaggione","Rainfall_Calavorno","Rainfall_Croce_Arcana","Rainfall_Tereglio_Coreglia_Antelminelli","Rainfall_Fabbriche_di_Vallico","Temperature_Orentano","Temperature_Monte_Serra","Temperature_Ponte_a_Moriano","Temperature_Lucca_Orto_Botanico","Volume_POL","Volume_CC1","Volume_CC2","Volume_CSA","Volume_CSAL","Hydrometry_Monte_S_Quirico","Hydrometry_Piaggione","CoS","DIEC","LT2","PAG","SAL"
"1",2006-01-01,37.2,26,21.4,43.2,29.4,35.2,31.2,0,11.2,38,4.25,0,5.1,5.8,-10355.06129,-17331.98265,-12716.70735,0,0,0.5,0.57,NA,NA,-14.94,NA,NA
"2",2006-01-02,3.2,8.4,0.2,8,6,7.4,3.6,0,0,4.2,7.2,0,5.55,5.3,-10900.06452,-18244.19226,-13386.00774,0,0,0.53,0.72,NA,NA,-14.96,NA,NA
"3",2006-01-03,0.2,0,0,0.2,0,0.2,0,0,0.2,0.2,6.35,0,6.25,6.15,-10900.06452,-18244.19226,-13386.00774,0,0,0.48,0.47,NA,NA,-15.02,NA,NA
"4",2006-01-04,0,0.2,0,0,0,0,0.2,0,0,0,9.6,0,3.8,3.8,-10900.06452,-18244.19226,-13386.00774,0,0,0.43,0.21,NA,NA,-15.02,NA,NA
"5",2006-01-05,0,0,0,0,0,0,0,0,0,0,5.7,0,4.35,4.2,-10900.06452,-18244.19226,-13386.00774,0,0,0.38,0.18,NA,NA,-15.02,NA,NA
"6",2006-01-06,0,0,0,0,0,0,0,0.4,0,0,5.05,0,4.95,3.25,-10900.06452,-18244.19226,-13386.00774,0,0,0.35,0.15,NA,NA,-15.04,NA,NA
"7",2006-01-07,0,0,0,0.2,0,0,0.2,0.2,0,0.2,4.75,0,5.05,3.25,-10900.06452,-18244.19226,-13386.00774,0,0,0.36,0.13,NA,NA,-15.06,NA,NA
"8",2006-01-08,0,0.2,0,0.2,0,0,0,0,0,0,5.3,7.1,5.65,4.15,-10355.06129,-17331.98265,-12716.70735,0,0,0.31,0.12,NA,NA,-15.07,NA,NA
"9",2006-01-09,0.2,0.2,0,0,0,0,0.2,0,0,0.2,5.65,5.75,3.4,3.2,-10900.06452,-18244.19226,-13386.00774,0,0,0.32,0.11,NA,NA,-15.08,NA,NA
"10",2006-01-10,0,0,0,0,0,0,0.2,0,0,0,2.9,8.65,4.5,2.5,-10900.06452,-18244.19226,-13386.00774,0,0,0.28,0.1,NA,NA,-15.08,NA,NA
"11",2006-01-11,0,0,0,0.2,0,0,0.2,0,0,0,7.95,8.55,4.25,2.9,-10900.06452,-18244.19226,-13386.00774,0,0,0.28,0.1,NA,NA,-15.08,NA,NA
"12",2006-01-12,0,0,0,0,0,0,0,0,0,0,15.55,8.85,5.2,3.1,-10900.06452,-18244.19226,-13386.00774,0,0,0.22,0.09,NA,NA,-15.07,NA,NA
"13",2006-01-13,0.2,0.2,0,0.2,0,0,0.2,0,0,0,3.55,6.3,3.65,3,-10900.06452,-18244.19226,-13386.00774,0,0,0.24,0.08,NA,NA,-15.08,NA,NA
"14",2006-01-14,0,0,0,0,0,0,0,0,0,0,1.7,6.75,2.95,1.35,-10900.06452,-18244.19226,-13386.00774,0,0,0.21,0.07,NA,NA,-15.06,NA,NA
"15",2006-01-15,0,0.2,0,0.2,0,0,0.2,0,0,0,0.9,8.3,3.05,2.05,-10355.06129,-17331.98265,-12716.70735,0,0,0.21,0.07,NA,NA,-15.05,NA,NA
"16",2006-01-16,0,0,0.2,0,0,0,0,0,0.2,0,2.2,9.65,2.1,1.75,-10900.06452,-18244.19226,-13386.00774,0,0,0.25,0.08,NA,NA,-15.04,NA,NA
