"","Date","Rainfall_Gallicano","Rainfall_Pontetetto","Rainfall_Monte_Serra","Rainfall_Orentano","Rainfall_Borgo_a_Mozzano","Rainfall_Piaggione","Rainfall_Calavorno","Rainfall_Croce_Arcana","Rainfall_Tereglio_Coreglia_Antelminelli","Rainfall_Fabbriche_di_Vallico","Temperature_Orentano","Temperature_Monte_Serra","Temperature_Ponte_a_Moriano","Temperature_Lucca_Orto_Botanico","Volume_POL","Volume_CC1","Volume_CC2","Volume_CSA","Volume_CSAL","Hydrometry_Monte_S_Quirico","Hydrometry_Piaggione","CoS","DIEC","LT2","PAG","SAL","imp1","imp2","imp3","imp4","imp5","Season"
"1",2010-01-01,51,41.4,34.6,40,68,58.6,54.4,5.2,47.4,68.4,9.2,5.6,8.85,9.55,-10500,-17634.24,-13012.704,0,0,1.23,-0.33,5.26,2.2,14.29,0.57,4.91,5.26,2.23,14.29,0.57,4.91,"Winter"
"2",2010-01-02,17,6.4,0,7,13.2,11,19,1,10.8,19.6,6.75,1.95,7.85,7.5,-10500,-17634.24,-13012.704,0,0,1,-0.33,5.17,2.2,14.37,0.76,4.78,5.17,2.23,14.37,0.76,4.78,"Winter"
"3",2010-01-03,0,0,0,0,0,0,0,0,0,0,2.3,-0.5,2.65,2.5,-9975,-16752.528,-12362.0688,0,0,0.81,-0.33,5.23,2.2,14.47,0.88,4.74,5.23,2.23,14.47,0.88,4.74,"Winter"
"4",2010-01-04,0,0.4,0,0.4,0.8,0.6,0.2,1.8,0,0,1.75,-1.45,1.9,2.05,-10500,-17634.24,-13012.704,0,0,0.71,-0.33,5.19,2.2,14.42,0.99,4.74,5.19,2.23,14.42,0.99,4.74,"Winter"
"5",2010-01-05,8.6,14.2,20,16.4,11.8,11.9,12.6,0.2,2.2,4,3.85,1.2,3.7,4.1,-10500,-17634.24,-13012.704,0,0,0.66,-0.33,5.13,2.2,14.32,0.87,4.76,5.13,2.23,14.32,0.87,4.76,"Winter"
"6",2010-01-06,10.2,6.8,15,11.2,5,8,8.2,1.6,18.2,20,6.2,2.5,6.4,6.35,-10500,-17634.24,-13012.704,0,0,0.62,-0.33,5.06,2.2,14.31,0.91,4.79,5.06,2.23,14.31,0.91,4.79,"Winter"
"7",2010-01-07,6.2,8,5,5.4,6.8,8,7.2,0,5.2,6,5.95,2.35,6.75,6.55,-10500,-17634.24,-13012.704,0,0,0.63,-0.33,5.06,2.2,14.35,0.89,4.83,5.06,2.23,14.35,0.89,4.83,"Winter"
"8",2010-01-08,33.2,11.4,9,10,13.2,14.6,16.8,0,15,28.6,8.15,5.4,7.95,8.45,-10500,-17634.24,-13012.704,0,0,0.77,-0.33,4.95,2.2,14.27,0.78,4.83,4.95,2.23,14.27,0.78,4.83,"Winter"
"9",2010-01-09,19.6,8.6,28,8.8,10.2,11.1,10.4,11.4,14.4,24.8,6.9,2.55,7.1,6.8,-10500,-17634.24,-13012.704,0,0,0.84,-0.33,4.86,2.2,14.24,0.69,4.79,4.86,2.23,14.24,0.69,4.79,"Winter"
"10",2010-01-10,28,27,0,16.6,40.8,37,41.6,1.8,32,50,5.4,0.1,5.75,5.9,-9975,-16752.528,-12362.0688,0,0,0.84,-0.33,4.85,2.2,14.32,0.69,4.71,4.85,2.23,14.32,0.69,4.71,"Winter"
