"","Date","Volume_Pozzo_1","Volume_Pozzo_2","Volume_Pozzo_3","Volume_Pozzo_4","Volume_Pozzo_5.6","Volume_Pozzo_7","Volume_Pozzo_8","Volume_Pozzo_9","Temperature_Monteporzio","Temperature_Velletri","imp_rain_velletri","imp_rain_monteporzio","Year","Month","Day","Spring","Summer","Autumn","Winter","imp1","imp2","imp3","imp4","imp5","imp6","imp7","imp8","imp9","snow.yes","snow.no"
"1",2012-06-01,NA,NA,NA,NA,NA,NA,NA,NA,18.18,19.32,0,0,"2012","6","1","1","0","0","0",53.45,92.17,106.97,96.5,98.99,89.25,92.95,93.83,95.54,"0","1"
"2",2012-06-02,NA,NA,NA,NA,NA,NA,NA,NA,19.22,19.88,0,0,"2012","6","2","1","0","0","0",53.58,92.18,107.03,96.5,98.99,89.25,92.95,93.83,95.55,"0","1"
"3",2012-06-03,NA,NA,NA,NA,NA,NA,NA,NA,19.75,20.61,0,0,"2012","6","3","1","0","0","0",53.72,92.19,106.99,96.51,99,89.25,92.95,93.84,95.57,"0","1"
"4",2012-06-04,NA,NA,NA,NA,NA,NA,NA,NA,16.49,18.16,12.8,1.2,"2012","6","4","1","0","0","0",53.72,92.21,106.99,96.52,99,89.27,92.96,93.85,95.57,"0","1"
"5",2012-06-05,NA,NA,NA,NA,NA,NA,NA,NA,17.25,19.76,0,0,"2012","6","5","1","0","0","0",53.72,92.24,106.99,96.53,99,89.28,92.97,93.86,95.57,"0","1"
"6",2012-06-06,NA,NA,NA,NA,NA,NA,NA,NA,17.88,19.58,0,0,"2012","6","6","1","0","0","0",53.71,92.24,106.99,96.53,99.02,89.3,92.98,93.88,95.58,"0","1"
"7",2012-06-07,NA,NA,NA,NA,NA,NA,NA,NA,19.34,20.87,0,0,"2012","6","7","1","0","0","0",53.71,92.24,106.99,96.53,99.02,89.3,92.98,93.89,95.6,"0","1"
"8",2012-06-08,NA,NA,NA,NA,NA,NA,NA,NA,22.88,23.65,0,0,"2012","6","8","1","0","0","0",53.71,92.25,107,96.52,99.03,89.3,92.99,93.89,95.6,"0","1"
"9",2012-06-09,NA,NA,NA,NA,NA,NA,NA,NA,20.35,22.22,0,0.4,"2012","6","9","1","0","0","0",54.27,92.25,107.03,96.52,99.03,89.31,93,93.89,95.67,"0","1"
"10",2012-06-10,NA,NA,NA,NA,NA,NA,NA,NA,19.17,20.79,0,0,"2012","6","10","1","0","0","0",54.32,92.26,107.05,96.52,99.03,89.32,93.01,93.91,95.69,"0","1"
"11",2012-06-11,NA,NA,NA,NA,NA,NA,NA,NA,19.58,20.81,0,0,"2012","6","11","1","0","0","0",54.36,92.26,107.05,96.53,99.03,89.32,93.01,93.91,95.69,"0","1"
"12",2012-06-12,NA,NA,NA,NA,NA,NA,NA,NA,18.91,20.47,0,0,"2012","6","12","1","0","0","0",54.43,92.27,107.07,96.54,99.03,89.33,93.02,93.92,95.7,"0","1"
"13",2012-06-13,NA,NA,NA,NA,NA,NA,NA,NA,16.76,18.41,0,0,"2012","6","13","1","0","0","0",54.44,92.3,107.09,96.58,99.07,89.36,93.05,93.95,95.73,"0","1"
"14",2012-06-14,NA,NA,NA,NA,NA,NA,NA,NA,17.53,19.65,0,0,"2012","6","14","1","0","0","0",54.45,92.31,107.1,96.58,99.08,89.37,93.05,93.97,95.76,"0","1"
"15",2012-06-15,NA,NA,NA,NA,NA,NA,NA,NA,20.77,22.61,0,0,"2012","6","15","1","0","0","0",54.48,92.33,107.1,96.58,99.08,89.37,93.07,93.98,96.73,"0","1"
"16",2012-06-16,NA,NA,NA,NA,NA,NA,NA,NA,23.76,25.24,0,0,"2012","6","16","1","0","0","0",54.48,92.34,107.13,96.57,99.09,89.38,93.07,94,96.97,"0","1"
"17",2012-06-17,NA,NA,NA,NA,NA,NA,NA,NA,25.15,26.48,0,0,"2012","6","17","1","0","0","0",54.48,92.34,107.15,96.55,99.09,89.38,93.09,94,96.97,"0","1"
"18",2012-06-18,NA,NA,NA,NA,NA,NA,NA,NA,25.75,27,0,0,"2012","6","18","1","0","0","0",54.41,92.36,107.15,96.51,99.09,89.4,93.1,94.02,97.02,"0","1"
"19",2012-06-19,NA,NA,NA,NA,NA,NA,NA,NA,25.8,27.53,0,0,"2012","6","19","1","0","0","0",54.39,92.37,107.18,96.51,99.1,89.41,93.1,94.03,97.05,"0","1"
"20",2012-06-20,NA,NA,NA,NA,NA,NA,NA,NA,26.18,27.23,0,0,"2012","6","20","1","0","0","0",54.39,92.37,107.19,96.51,99.1,89.41,93.1,94.03,97.08,"0","1"
"21",2012-06-21,NA,NA,NA,NA,NA,NA,NA,NA,25.16,25.83,0,0,"2012","6","21","0","1","0","0",54.39,92.38,107.19,96.52,99.1,89.42,93.11,94.04,97.1,"0","1"
"22",2012-06-22,NA,NA,NA,NA,NA,NA,NA,NA,25.24,28.53,0,0,"2012","6","22","0","1","0","0",54.39,92.4,107.21,96.68,99.11,89.44,93.13,94.06,97.17,"0","1"
"23",2012-06-23,NA,NA,NA,NA,NA,NA,NA,NA,25.44,27.69,0,0,"2012","6","23","0","1","0","0",54.4,92.4,107.22,96.68,99.12,89.44,93.14,94.07,97.17,"0","1"
"24",2012-06-24,NA,NA,NA,NA,NA,NA,NA,NA,24.19,26.58,0,0,"2012","6","24","0","1","0","0",54.4,92.4,107.22,96.68,99.12,89.45,93.14,94.07,97.17,"0","1"
"25",2012-06-25,NA,NA,NA,NA,NA,NA,NA,NA,23.27,24.21,0,0,"2012","6","25","0","1","0","0",54.39,92.4,107.22,96.63,99.13,89.45,93.15,94.07,97.02,"0","1"
"26",2012-06-26,NA,NA,NA,NA,NA,NA,NA,NA,23.65,25.45,0,0,"2012","6","26","0","1","0","0",52.17,92.42,107.23,96.57,99.13,89.45,93.15,94.07,96.73,"0","1"
"27",2012-06-27,NA,NA,NA,NA,NA,NA,NA,NA,24.92,26.5,0,0,"2012","6","27","0","1","0","0",36.81,92.42,107.23,96.57,99.14,89.45,93.15,94.09,96.63,"0","1"
"28",2012-06-28,NA,NA,NA,NA,NA,NA,NA,NA,25.1,26.77,0,0,"2012","6","28","0","1","0","0",36.81,92.43,107.24,96.57,99.15,89.45,93.15,94.09,96.63,"0","1"
"29",2012-06-29,NA,NA,NA,NA,NA,NA,NA,NA,24.94,26.35,0,0,"2012","6","29","0","1","0","0",51.89,92.43,107.26,96.57,99.16,89.45,93.15,94.1,96.63,"0","1"
"30",2012-06-30,NA,NA,NA,NA,NA,NA,NA,NA,26.07,27.71,0,0,"2012","6","30","0","1","0","0",52.17,92.43,107.28,96.57,99.17,89.45,93.15,94.1,96.66,"0","1"
"31",2012-07-01,NA,NA,NA,NA,NA,NA,NA,NA,26.86,28.73,0,0,"2012","7","1","0","1","0","0",54.23,92.44,107.28,96.55,99.17,89.45,93.15,94.1,96.87,"0","1"
"32",2012-07-02,NA,NA,NA,NA,NA,NA,NA,NA,25.77,27.41,0,0,"2012","7","2","0","1","0","0",54.42,92.44,107.28,96.55,99.17,90.95,93.19,94.11,96.98,"0","1"
"33",2012-07-03,NA,NA,NA,NA,NA,NA,NA,NA,22.8,24.59,0,0,"2012","7","3","0","1","0","0",54.44,92.45,107.29,96.55,99.18,90.95,93.23,94.11,97.05,"0","1"
"34",2012-07-04,NA,NA,NA,NA,NA,NA,NA,NA,22.08,23.85,0,0,"2012","7","4","0","1","0","0",54.52,92.45,107.31,96.58,99.18,90.96,93.23,94.13,97.1,"0","1"
"35",2012-07-05,NA,NA,NA,NA,NA,NA,NA,NA,22.45,24.18,0,0.2,"2012","7","5","0","1","0","0",54.44,92.48,107.34,96.59,99.19,90.96,93.23,94.15,97.1,"0","1"
"36",2012-07-06,NA,NA,NA,NA,NA,NA,NA,NA,22.44,24.22,0,0.2,"2012","7","6","0","1","0","0",54.53,92.48,107.35,96.62,99.21,90.96,93.23,94.17,97.17,"0","1"
"37",2012-07-07,NA,NA,NA,NA,NA,NA,NA,NA,23.38,25.36,0,0,"2012","7","7","0","1","0","0",54.55,92.49,107.35,96.64,99.22,90.96,93.23,94.17,97.18,"0","1"
"38",2012-07-08,NA,NA,NA,NA,NA,NA,NA,NA,24.97,26.36,0,0,"2012","7","8","0","1","0","0",54.6,92.51,107.36,96.64,99.22,90.98,93.25,94.19,97.2,"0","1"
"39",2012-07-09,NA,NA,NA,NA,NA,NA,NA,NA,25.75,26.81,0,0,"2012","7","9","0","1","0","0",54.65,92.51,107.39,96.66,99.22,90.9733333333333,93.26,94.1833333333333,97.23,"0","1"
"40",2012-07-10,NA,NA,NA,NA,NA,NA,NA,NA,25.33,26.82,0,0,"2012","7","10","0","1","0","0",54.65,92.54,107.4,96.76,99.24,90.9733333333333,93.27,94.1833333333333,97.23,"0","1"
"41",2012-07-11,NA,NA,NA,NA,NA,NA,NA,NA,24.64,26.05,0,0,"2012","7","11","0","1","0","0",54.6,92.54,107.4,96.76,99.24,90.9733333333333,93.28,94.1833333333333,97.23,"0","1"
"42",2012-07-12,NA,NA,NA,NA,NA,NA,NA,NA,23.91,25.14,0,0,"2012","7","12","0","1","0","0",54.6,92.55,107.43,96.76,99.25,90.9733333333333,93.29,94.1833333333333,97.23,"0","1"
"43",2012-07-13,NA,NA,NA,NA,NA,NA,NA,NA,23,23.93,0,0,"2012","7","13","0","1","0","0",54.73,92.56,107.43,96.69,99.25,90.9733333333333,93.3,94.1833333333333,97.36,"0","1"
"44",2012-07-14,NA,NA,NA,NA,NA,NA,NA,NA,25.06,26.18,0,0,"2012","7","14","0","1","0","0",54.73,92.56,107.44,96.69,99.26,90.9733333333333,93.3,94.1833333333333,97.36,"0","1"
"45",2012-07-15,NA,NA,NA,NA,NA,NA,NA,NA,24.34,25.18,0,0,"2012","7","15","0","1","0","0",54.73,92.58,107.45,96.69,99.27,90.9733333333333,93.3,94.1833333333333,97.36,"0","1"
"46",2012-07-16,NA,NA,NA,NA,NA,NA,NA,NA,22.49,24.77,0,0,"2012","7","16","0","1","0","0",54.76,92.59,107.45,96.7,99.27,90.9733333333333,93.32,94.1833333333333,97.36,"0","1"
"47",2012-07-17,NA,NA,NA,NA,NA,NA,NA,NA,23.1,24.81,0,0,"2012","7","17","0","1","0","0",55.07,92.6,107.46,96.7,99.29,91.03,93.32,94.38,97.35,"0","1"
"48",2012-07-18,NA,NA,NA,NA,NA,NA,NA,NA,24.08,25.88,0,0,"2012","7","18","0","1","0","0",55.09,92.6,107.46,96.7,99.3,91.0533333333333,93.33,94.48,97.35,"0","1"
"49",2012-07-19,NA,NA,NA,NA,NA,NA,NA,NA,25.08,26.9,0,0,"2012","7","19","0","1","0","0",54.76,92.6,107.48,96.69,99.31,91.0533333333333,93.33,94.48,97.08,"0","1"
"50",2012-07-20,NA,NA,NA,NA,NA,NA,NA,NA,24.51,26.19,0,0,"2012","7","20","0","1","0","0",54.99,92.61,107.49,96.69,99.31,91.0533333333333,93.34,94.48,97.24,"0","1"
"51",2012-07-21,NA,NA,NA,NA,NA,NA,NA,NA,23.97,25.26,0,0,"2012","7","21","0","1","0","0",54.99,92.61,107.5,96.69,99.32,91.0533333333333,93.35,94.48,97.24,"0","1"
"52",2012-07-22,NA,NA,NA,NA,NA,NA,NA,NA,22.12,23.78,0,0,"2012","7","22","0","1","0","0",34.7,92.61,107.5,96.7,99.32,91.0533333333333,93.35,94.48,96.88,"0","1"
"53",2012-07-23,NA,NA,NA,NA,NA,NA,NA,NA,19.02,21.12,12,7,"2012","7","23","0","1","0","0",34.7,92.61,107.5,96.78,99.32,91.0533333333333,93.35,94.48,96.88,"0","1"
