"","Date","Rainfall_Terni","Flow_Rate_Lupa","abs.flow_rate"
"1",2009-02-19,2.763,-166.02,166.02
"2",2009-02-20,2.763,-166.97,166.97
"3",2009-02-21,2.763,-167.72,167.72
"4",2009-02-22,2.763,-168.65,168.65
"5",2009-02-23,2.763,-169.42,169.42
"6",2009-02-24,2.763,-170.21,170.21
"7",2009-02-25,2.763,-171.1,171.1
"8",2009-02-26,2.763,-171.69,171.69
"9",2009-02-27,2.763,-172.07,172.07
"10",2009-02-28,2.763,-172.33,172.33
"11",2009-03-01,2.076,-172.68,172.68
"12",2009-03-02,2.076,-172.88,172.88
"13",2009-03-03,2.076,-173.15,173.15
"14",2009-03-04,2.076,-173.55,173.55
"15",2009-03-05,2.076,-173.83,173.83
"16",2009-03-06,2.076,-175.7,175.7
"17",2009-03-07,2.076,-176.86,176.86
"18",2009-03-08,2.076,-177.86,177.86
"19",2009-03-09,2.076,-178.9,178.9
"20",2009-03-10,2.076,-180.08,180.08
"21",2009-03-11,2.076,-180.45,180.45
"22",2009-03-12,2.076,-181.34,181.34
"23",2009-03-13,2.076,-181.77,181.77
"24",2009-03-14,2.076,-181.71,181.71
"25",2009-03-15,2.076,-181.83,181.83
"26",2009-03-16,2.076,-181.8,181.8
"27",2009-03-17,2.076,-181.9,181.9
"28",2009-03-18,2.076,-181.86,181.86
"29",2009-03-19,2.076,-182.02,182.02
"30",2009-03-20,2.076,-182.14,182.14
"31",2009-03-21,2.076,-182.31,182.31
"32",2009-03-22,2.076,-182.13,182.13
"33",2009-03-23,2.076,-182.04,182.04
"34",2009-03-24,2.076,-182,182
"35",2009-03-25,2.076,-182.03,182.03
"36",2009-03-26,2.076,-181.87,181.87
"37",2009-03-27,2.076,-181.64,181.64
"38",2009-03-28,2.076,-181.4,181.4
"39",2009-03-29,2.076,-180.9,180.9
"40",2009-03-30,2.076,-180.61,180.61
"41",2009-03-31,2.076,-180.42,180.42
"42",2009-04-01,2.79,-180.18,180.18
"43",2009-04-02,2.79,-179.95,179.95
"44",2009-04-03,2.79,-179.92,179.92
"45",2009-04-04,2.79,-179.89,179.89
"46",2009-04-05,2.79,-179.94,179.94
"47",2009-04-06,2.79,-180.3,180.3
"48",2009-04-07,2.79,-180.43,180.43
"49",2009-04-08,2.79,-180.45,180.45
"50",2009-04-09,2.79,-180.46,180.46
"51",2009-04-10,2.79,NA,NA
"52",2009-04-11,2.79,NA,NA
"53",2009-04-12,2.79,NA,NA
"54",2009-04-13,2.79,NA,NA
"55",2009-04-14,2.79,NA,NA
"56",2009-04-15,2.79,NA,NA
"57",2009-04-16,2.79,NA,NA
"58",2009-04-17,2.79,NA,NA
"59",2009-04-18,2.79,NA,NA
"60",2009-04-19,2.79,NA,NA
"61",2009-04-20,2.79,NA,NA
"62",2009-04-21,2.79,NA,NA
"63",2009-04-22,2.79,NA,NA
"64",2009-04-23,2.79,NA,NA
"65",2009-04-24,2.79,NA,NA
"66",2009-04-25,2.79,NA,NA
"67",2009-04-26,2.79,NA,NA
"68",2009-04-27,2.79,NA,NA
"69",2009-04-28,2.79,NA,NA
"70",2009-04-29,2.79,NA,NA
"71",2009-04-30,2.79,NA,NA
"72",2009-05-01,1.139,NA,NA
"73",2009-05-02,1.139,NA,NA
"74",2009-05-03,1.139,NA,NA
"75",2009-05-04,1.139,NA,NA
"76",2009-05-05,1.139,NA,NA
"77",2009-05-06,1.139,NA,NA
"78",2009-05-07,1.139,NA,NA
"79",2009-05-08,1.139,NA,NA
"80",2009-05-09,1.139,NA,NA
"81",2009-05-10,1.139,NA,NA
"82",2009-05-11,1.139,NA,NA
"83",2009-05-12,1.139,NA,NA
"84",2009-05-13,1.139,NA,NA
"85",2009-05-14,1.139,NA,NA
"86",2009-05-15,1.139,NA,NA
"87",2009-05-16,1.139,NA,NA
"88",2009-05-17,1.139,NA,NA
"89",2009-05-18,1.139,NA,NA
"90",2009-05-19,1.139,NA,NA
"91",2009-05-20,1.139,NA,NA
"92",2009-05-21,1.139,NA,NA
"93",2009-05-22,1.139,NA,NA
"94",2009-05-23,1.139,NA,NA
"95",2009-05-24,1.139,NA,NA
"96",2009-05-25,1.139,NA,NA
"97",2009-05-26,1.139,NA,NA
