"","Date","Rainfall_Terni","fl_rate.Ls","Year","Month","Day","Spring","Summer","Autumn","Winter"
"1",2009-02-19,2.763,166.02,"2009","2","19","0","0","0","0"
"2",2009-02-20,2.763,166.97,"2009","2","20","0","0","0","0"
"3",2009-02-21,2.763,167.72,"2009","2","21","0","0","0","0"
"4",2009-02-22,2.763,168.65,"2009","2","22","0","0","0","0"
"5",2009-02-23,2.763,169.42,"2009","2","23","0","0","0","0"
"6",2009-02-24,2.763,170.21,"2009","2","24","0","0","0","0"
"7",2009-02-25,2.763,171.1,"2009","2","25","0","0","0","0"
"8",2009-02-26,2.763,171.69,"2009","2","26","0","0","0","0"
"9",2009-02-27,2.763,172.07,"2009","2","27","0","0","0","0"
"10",2009-02-28,2.763,172.33,"2009","2","28","0","0","0","0"
"11",2009-03-01,2.076,172.68,"2009","3","1","0","0","0","0"
"12",2009-03-02,2.076,172.88,"2009","3","2","0","0","0","0"
"13",2009-03-03,2.076,173.15,"2009","3","3","0","0","0","0"
"14",2009-03-04,2.076,173.55,"2009","3","4","0","0","0","0"
"15",2009-03-05,2.076,173.83,"2009","3","5","0","0","0","0"
"16",2009-03-06,2.076,175.7,"2009","3","6","0","0","0","0"
"17",2009-03-07,2.076,176.86,"2009","3","7","0","0","0","0"
"18",2009-03-08,2.076,177.86,"2009","3","8","0","0","0","0"
"19",2009-03-09,2.076,178.9,"2009","3","9","0","0","0","0"
"20",2009-03-10,2.076,180.08,"2009","3","10","0","0","0","0"
"21",2009-03-11,2.076,180.45,"2009","3","11","0","0","0","0"
"22",2009-03-12,2.076,181.34,"2009","3","12","0","0","0","0"
"23",2009-03-13,2.076,181.77,"2009","3","13","0","0","0","0"
"24",2009-03-14,2.076,181.71,"2009","3","14","0","0","0","0"
"25",2009-03-15,2.076,181.83,"2009","3","15","0","0","0","0"
"26",2009-03-16,2.076,181.8,"2009","3","16","0","0","0","0"
"27",2009-03-17,2.076,181.9,"2009","3","17","0","0","0","0"
"28",2009-03-18,2.076,181.86,"2009","3","18","0","0","0","0"
"29",2009-03-19,2.076,182.02,"2009","3","19","0","0","0","0"
"30",2009-03-20,2.076,182.14,"2009","3","20","0","0","0","0"
"31",2009-03-21,2.076,182.31,"2009","3","21","1","0","0","0"
"32",2009-03-22,2.076,182.13,"2009","3","22","1","0","0","0"
"33",2009-03-23,2.076,182.04,"2009","3","23","1","0","0","0"
"34",2009-03-24,2.076,182,"2009","3","24","1","0","0","0"
"35",2009-03-25,2.076,182.03,"2009","3","25","1","0","0","0"
"36",2009-03-26,2.076,181.87,"2009","3","26","1","0","0","0"
"37",2009-03-27,2.076,181.64,"2009","3","27","1","0","0","0"
"38",2009-03-28,2.076,181.4,"2009","3","28","1","0","0","0"
"39",2009-03-29,2.076,180.9,"2009","3","29","1","0","0","0"
"40",2009-03-30,2.076,180.61,"2009","3","30","1","0","0","0"
"41",2009-03-31,2.076,180.42,"2009","3","31","1","0","0","0"
"42",2009-04-01,2.79,180.18,"2009","4","1","1","0","0","0"
"43",2009-04-02,2.79,179.95,"2009","4","2","1","0","0","0"
"44",2009-04-03,2.79,179.92,"2009","4","3","1","0","0","0"
"45",2009-04-04,2.79,179.89,"2009","4","4","1","0","0","0"
"46",2009-04-05,2.79,179.94,"2009","4","5","1","0","0","0"
"47",2009-04-06,2.79,180.3,"2009","4","6","1","0","0","0"
"48",2009-04-07,2.79,180.43,"2009","4","7","1","0","0","0"
"49",2009-04-08,2.79,180.45,"2009","4","8","1","0","0","0"
"50",2009-04-09,2.79,180.46,"2009","4","9","1","0","0","0"
"51",2009-04-10,2.79,180.456666666667,"2009","4","10","1","0","0","0"
"52",2009-04-11,2.79,180.456666666667,"2009","4","11","1","0","0","0"
"53",2009-04-12,2.79,180.456666666667,"2009","4","12","1","0","0","0"
"54",2009-04-13,2.79,180.456666666667,"2009","4","13","1","0","0","0"
"55",2009-04-14,2.79,180.456666666667,"2009","4","14","1","0","0","0"
"56",2009-04-15,2.79,180.456666666667,"2009","4","15","1","0","0","0"
"57",2009-04-16,2.79,180.456666666667,"2009","4","16","1","0","0","0"
"58",2009-04-17,2.79,180.456666666667,"2009","4","17","1","0","0","0"
"59",2009-04-18,2.79,180.456666666667,"2009","4","18","1","0","0","0"
"60",2009-04-19,2.79,180.456666666667,"2009","4","19","1","0","0","0"
"61",2009-04-20,2.79,180.456666666667,"2009","4","20","1","0","0","0"
"62",2009-04-21,2.79,180.456666666667,"2009","4","21","1","0","0","0"
"63",2009-04-22,2.79,180.456666666667,"2009","4","22","1","0","0","0"
"64",2009-04-23,2.79,180.456666666667,"2009","4","23","1","0","0","0"
"65",2009-04-24,2.79,180.456666666667,"2009","4","24","1","0","0","0"
"66",2009-04-25,2.79,180.456666666667,"2009","4","25","1","0","0","0"
"67",2009-04-26,2.79,180.456666666667,"2009","4","26","1","0","0","0"
"68",2009-04-27,2.79,180.456666666667,"2009","4","27","1","0","0","0"
"69",2009-04-28,2.79,180.456666666667,"2009","4","28","1","0","0","0"
"70",2009-04-29,2.79,180.456666666667,"2009","4","29","1","0","0","0"
"71",2009-04-30,2.79,180.456666666667,"2009","4","30","1","0","0","0"
"72",2009-05-01,1.139,180.456666666667,"2009","5","1","1","0","0","0"
"73",2009-05-02,1.139,180.456666666667,"2009","5","2","1","0","0","0"
"74",2009-05-03,1.139,180.456666666667,"2009","5","3","1","0","0","0"
"75",2009-05-04,1.139,174.685,"2009","5","4","1","0","0","0"
"76",2009-05-05,1.139,162.88,"2009","5","5","1","0","0","0"
"77",2009-05-06,1.139,157.02,"2009","5","6","1","0","0","0"
"78",2009-05-07,1.139,157.02,"2009","5","7","1","0","0","0"
"79",2009-05-08,1.139,157.02,"2009","5","8","1","0","0","0"
"80",2009-05-09,1.139,157.02,"2009","5","9","1","0","0","0"
"81",2009-05-10,1.139,157.02,"2009","5","10","1","0","0","0"
"82",2009-05-11,1.139,157.02,"2009","5","11","1","0","0","0"
"83",2009-05-12,1.139,157.02,"2009","5","12","1","0","0","0"
"84",2009-05-13,1.139,157.02,"2009","5","13","1","0","0","0"
"85",2009-05-14,1.139,157.02,"2009","5","14","1","0","0","0"
"86",2009-05-15,1.139,157.02,"2009","5","15","1","0","0","0"
"87",2009-05-16,1.139,157.02,"2009","5","16","1","0","0","0"
"88",2009-05-17,1.139,157.02,"2009","5","17","1","0","0","0"
"89",2009-05-18,1.139,157.02,"2009","5","18","1","0","0","0"
"90",2009-05-19,1.139,157.02,"2009","5","19","1","0","0","0"
"91",2009-05-20,1.139,157.02,"2009","5","20","1","0","0","0"
"92",2009-05-21,1.139,157.02,"2009","5","21","1","0","0","0"
"93",2009-05-22,1.139,157.02,"2009","5","22","1","0","0","0"
"94",2009-05-23,1.139,157.02,"2009","5","23","1","0","0","0"
"95",2009-05-24,1.139,157.02,"2009","5","24","1","0","0","0"
"96",2009-05-25,1.139,157.02,"2009","5","25","1","0","0","0"
"97",2009-05-26,1.139,157.02,"2009","5","26","1","0","0","0"
"98",2009-05-27,1.139,157.02,"2009","5","27","1","0","0","0"
"99",2009-05-28,1.139,157.02,"2009","5","28","1","0","0","0"
"100",2009-05-29,1.139,157.02,"2009","5","29","1","0","0","0"
"101",2009-05-30,1.139,157.37,"2009","5","30","1","0","0","0"
"102",2009-05-31,1.139,156.32,"2009","5","31","1","0","0","0"
"103",2009-06-01,3.062,156.61,"2009","6","1","1","0","0","0"
"104",2009-06-02,3.062,156.68,"2009","6","2","1","0","0","0"
"105",2009-06-03,3.062,156.36,"2009","6","3","1","0","0","0"
"106",2009-06-04,3.062,155.79,"2009","6","4","1","0","0","0"
"107",2009-06-05,3.062,155.1,"2009","6","5","1","0","0","0"
"108",2009-06-06,3.062,154.31,"2009","6","6","1","0","0","0"
"109",2009-06-07,3.062,153.18,"2009","6","7","1","0","0","0"
"110",2009-06-08,3.062,152.38,"2009","6","8","1","0","0","0"
"111",2009-06-09,3.062,151.77,"2009","6","9","1","0","0","0"
"112",2009-06-10,3.062,150.98,"2009","6","10","1","0","0","0"
"113",2009-06-11,3.062,150.15,"2009","6","11","1","0","0","0"
"114",2009-06-12,3.062,149.33,"2009","6","12","1","0","0","0"
"115",2009-06-13,3.062,148.52,"2009","6","13","1","0","0","0"
"116",2009-06-14,3.062,147.58,"2009","6","14","1","0","0","0"
"117",2009-06-15,3.062,146.84,"2009","6","15","1","0","0","0"
"118",2009-06-16,3.062,145.97,"2009","6","16","1","0","0","0"
"119",2009-06-17,3.062,145.3,"2009","6","17","1","0","0","0"
"120",2009-06-18,3.062,144.49,"2009","6","18","1","0","0","0"
"121",2009-06-19,3.062,143.63,"2009","6","19","1","0","0","0"
"122",2009-06-20,3.062,142.61,"2009","6","20","1","0","0","0"
"123",2009-06-21,3.062,141.92,"2009","6","21","0","1","0","0"
"124",2009-06-22,3.062,141.6,"2009","6","22","0","1","0","0"
"125",2009-06-23,3.062,140.56,"2009","6","23","0","1","0","0"
"126",2009-06-24,3.062,140.06,"2009","6","24","0","1","0","0"
"127",2009-06-25,3.062,139.6,"2009","6","25","0","1","0","0"
"128",2009-06-26,3.062,138.93,"2009","6","26","0","1","0","0"
"129",2009-06-27,3.062,138.09,"2009","6","27","0","1","0","0"
"130",2009-06-28,3.062,137.4,"2009","6","28","0","1","0","0"
"131",2009-06-29,3.062,136.73,"2009","6","29","0","1","0","0"
"132",2009-06-30,3.062,135.97,"2009","6","30","0","1","0","0"
"133",2009-07-01,1.276,134.99,"2009","7","1","0","1","0","0"
"134",2009-07-02,1.276,134.52,"2009","7","2","0","1","0","0"
"135",2009-07-03,1.276,134.31,"2009","7","3","0","1","0","0"
"136",2009-07-04,1.276,133.7,"2009","7","4","0","1","0","0"
"137",2009-07-05,1.276,133.56,"2009","7","5","0","1","0","0"
"138",2009-07-06,1.276,134.17,"2009","7","6","0","1","0","0"
"139",2009-07-07,1.276,133.88,"2009","7","7","0","1","0","0"
"140",2009-07-08,1.276,133.62,"2009","7","8","0","1","0","0"
"141",2009-07-09,1.276,132.81,"2009","7","9","0","1","0","0"
"142",2009-07-10,1.276,132.12,"2009","7","10","0","1","0","0"
"143",2009-07-11,1.276,131.21,"2009","7","11","0","1","0","0"
"144",2009-07-12,1.276,130.35,"2009","7","12","0","1","0","0"
"145",2009-07-13,1.276,129.62,"2009","7","13","0","1","0","0"
"146",2009-07-14,1.276,128.9,"2009","7","14","0","1","0","0"
"147",2009-07-15,1.276,128.23,"2009","7","15","0","1","0","0"
"148",2009-07-16,1.276,127.51,"2009","7","16","0","1","0","0"
"149",2009-07-17,1.276,126.75,"2009","7","17","0","1","0","0"
"150",2009-07-18,1.276,125.65,"2009","7","18","0","1","0","0"
"151",2009-07-19,1.276,124.86,"2009","7","19","0","1","0","0"
"152",2009-07-20,1.276,124.47,"2009","7","20","0","1","0","0"
"153",2009-07-21,1.276,123.8,"2009","7","21","0","1","0","0"
"154",2009-07-22,1.276,123.12,"2009","7","22","0","1","0","0"
"155",2009-07-23,1.276,122.42,"2009","7","23","0","1","0","0"
"156",2009-07-24,1.276,121.83,"2009","7","24","0","1","0","0"
"157",2009-07-25,1.276,121.13,"2009","7","25","0","1","0","0"
"158",2009-07-26,1.276,120.47,"2009","7","26","0","1","0","0"
"159",2009-07-27,1.276,119.98,"2009","7","27","0","1","0","0"
"160",2009-07-28,1.276,119.35,"2009","7","28","0","1","0","0"
"161",2009-07-29,1.276,118.77,"2009","7","29","0","1","0","0"
"162",2009-07-30,1.276,118.39,"2009","7","30","0","1","0","0"
"163",2009-07-31,1.276,117.86,"2009","7","31","0","1","0","0"
"164",2009-08-01,0.95,117.19,"2009","8","1","0","1","0","0"
"165",2009-08-02,0.95,116.51,"2009","8","2","0","1","0","0"
"166",2009-08-03,0.95,116.11,"2009","8","3","0","1","0","0"
"167",2009-08-04,0.95,115.68,"2009","8","4","0","1","0","0"
"168",2009-08-05,0.95,115.22,"2009","8","5","0","1","0","0"
"169",2009-08-06,0.95,114.8,"2009","8","6","0","1","0","0"
"170",2009-08-07,0.95,114.36,"2009","8","7","0","1","0","0"
"171",2009-08-08,0.95,113.77,"2009","8","8","0","1","0","0"
"172",2009-08-09,0.95,112.92,"2009","8","9","0","1","0","0"
"173",2009-08-10,0.95,112.36,"2009","8","10","0","1","0","0"
"174",2009-08-11,0.95,111.77,"2009","8","11","0","1","0","0"
"175",2009-08-12,0.95,111.25,"2009","8","12","0","1","0","0"
"176",2009-08-13,0.95,110.64,"2009","8","13","0","1","0","0"
"177",2009-08-14,0.95,110.1,"2009","8","14","0","1","0","0"
"178",2009-08-15,0.95,109.46,"2009","8","15","0","1","0","0"
"179",2009-08-16,0.95,108.71,"2009","8","16","0","1","0","0"
"180",2009-08-17,0.95,107.88,"2009","8","17","0","1","0","0"
"181",2009-08-18,0.95,107.23,"2009","8","18","0","1","0","0"
"182",2009-08-19,0.95,106.7,"2009","8","19","0","1","0","0"
"183",2009-08-20,0.95,106.23,"2009","8","20","0","1","0","0"
"184",2009-08-21,0.95,105.56,"2009","8","21","0","1","0","0"
"185",2009-08-22,0.95,104.88,"2009","8","22","0","1","0","0"
"186",2009-08-23,0.95,104,"2009","8","23","0","1","0","0"
"187",2009-08-24,0.95,103.4,"2009","8","24","0","1","0","0"
"188",2009-08-25,0.95,102.87,"2009","8","25","0","1","0","0"
"189",2009-08-26,0.95,86.26,"2009","8","26","0","1","0","0"
"190",2009-08-27,0.95,101.85,"2009","8","27","0","1","0","0"
"191",2009-08-28,0.95,101.28,"2009","8","28","0","1","0","0"
"192",2009-08-29,0.95,100.72,"2009","8","29","0","1","0","0"
"193",2009-08-30,0.95,100.16,"2009","8","30","0","1","0","0"
"194",2009-08-31,0.95,99.62,"2009","8","31","0","1","0","0"
"195",2009-09-01,3.57,99.14,"2009","9","1","0","1","0","0"
"196",2009-09-02,3.57,98.7,"2009","9","2","0","1","0","0"
"197",2009-09-03,3.57,98.18,"2009","9","3","0","1","0","0"
"198",2009-09-04,3.57,97.78,"2009","9","4","0","1","0","0"
"199",2009-09-05,3.57,97.08,"2009","9","5","0","1","0","0"
"200",2009-09-06,3.57,96.35,"2009","9","6","0","1","0","0"
"201",2009-09-07,3.57,96.17,"2009","9","7","0","1","0","0"
"202",2009-09-08,3.57,95.81,"2009","9","8","0","1","0","0"
"203",2009-09-09,3.57,95.43,"2009","9","9","0","1","0","0"
"204",2009-09-10,3.57,95.1,"2009","9","10","0","1","0","0"
"205",2009-09-11,3.57,94.68,"2009","9","11","0","1","0","0"
"206",2009-09-12,3.57,94.12,"2009","9","12","0","1","0","0"
"207",2009-09-13,3.57,93.47,"2009","9","13","0","1","0","0"
"208",2009-09-14,3.57,93.25,"2009","9","14","0","1","0","0"
"209",2009-09-15,3.57,92.9,"2009","9","15","0","1","0","0"
"210",2009-09-16,3.57,92.81,"2009","9","16","0","1","0","0"
"211",2009-09-17,3.57,92.68,"2009","9","17","0","1","0","0"
"212",2009-09-18,3.57,92.27,"2009","9","18","0","1","0","0"
"213",2009-09-19,3.57,91.81,"2009","9","19","0","1","0","0"
"214",2009-09-20,3.57,91.25,"2009","9","20","0","1","0","0"
"215",2009-09-21,3.57,90.81,"2009","9","21","0","0","1","0"
"216",2009-09-22,3.57,90.66,"2009","9","22","0","0","1","0"
"217",2009-09-23,3.57,90.23,"2009","9","23","0","0","1","0"
"218",2009-09-24,3.57,89.8,"2009","9","24","0","0","1","0"
"219",2009-09-25,3.57,89.33,"2009","9","25","0","0","1","0"
"220",2009-09-26,3.57,88.59,"2009","9","26","0","0","1","0"
"221",2009-09-27,3.57,88.07,"2009","9","27","0","0","1","0"
"222",2009-09-28,3.57,87.86,"2009","9","28","0","0","1","0"
"223",2009-09-29,3.57,87.42,"2009","9","29","0","0","1","0"
"224",2009-09-30,3.57,86.99,"2009","9","30","0","0","1","0"
"225",2009-10-01,2.562,86.53,"2009","10","1","0","0","1","0"
"226",2009-10-02,2.562,86.12,"2009","10","2","0","0","1","0"
"227",2009-10-03,2.562,85.54,"2009","10","3","0","0","1","0"
"228",2009-10-04,2.562,85.02,"2009","10","4","0","0","1","0"
"229",2009-10-05,2.562,84.83,"2009","10","5","0","0","1","0"
"230",2009-10-06,2.562,84.47,"2009","10","6","0","0","1","0"
"231",2009-10-07,2.562,84.05,"2009","10","7","0","0","1","0"
"232",2009-10-08,2.562,83.63,"2009","10","8","0","0","1","0"
"233",2009-10-09,2.562,83.22,"2009","10","9","0","0","1","0"
"234",2009-10-10,2.562,82.13,"2009","10","10","0","0","1","0"
"235",2009-10-11,2.562,82.19,"2009","10","11","0","0","1","0"
"236",2009-10-12,2.562,81.5,"2009","10","12","0","0","1","0"
"237",2009-10-13,2.562,81.57,"2009","10","13","0","0","1","0"
"238",2009-10-14,2.562,81.43,"2009","10","14","0","0","1","0"
"239",2009-10-15,2.562,81.33,"2009","10","15","0","0","1","0"
"240",2009-10-16,2.562,81.25,"2009","10","16","0","0","1","0"
"241",2009-10-17,2.562,80.88,"2009","10","17","0","0","1","0"
"242",2009-10-18,2.562,80.42,"2009","10","18","0","0","1","0"
"243",2009-10-19,2.562,80.13,"2009","10","19","0","0","1","0"
"244",2009-10-20,2.562,79.83,"2009","10","20","0","0","1","0"
"245",2009-10-21,2.562,79.4,"2009","10","21","0","0","1","0"
"246",2009-10-22,2.562,78.43,"2009","10","22","0","0","1","0"
"247",2009-10-23,2.562,78.25,"2009","10","23","0","0","1","0"
"248",2009-10-24,2.562,78.02,"2009","10","24","0","0","1","0"
"249",2009-10-25,2.562,77.39,"2009","10","25","0","0","1","0"
"250",2009-10-26,2.562,77.02,"2009","10","26","0","0","1","0"
"251",2009-10-27,2.562,77.1433333333333,"2009","10","27","0","0","1","0"
"252",2009-10-28,2.562,77.1433333333333,"2009","10","28","0","0","1","0"
"253",2009-10-29,2.562,77.1433333333333,"2009","10","29","0","0","1","0"
"254",2009-10-30,2.562,77.1433333333333,"2009","10","30","0","0","1","0"
"255",2009-10-31,2.562,77.1433333333333,"2009","10","31","0","0","1","0"
"256",2009-11-01,4.057,77.1433333333333,"2009","11","1","0","0","1","0"
"257",2009-11-02,4.057,77.1433333333333,"2009","11","2","0","0","1","0"
"258",2009-11-03,4.057,77.1433333333333,"2009","11","3","0","0","1","0"
"259",2009-11-04,4.057,77.1433333333333,"2009","11","4","0","0","1","0"
"260",2009-11-05,4.057,77.1433333333333,"2009","11","5","0","0","1","0"
"261",2009-11-06,4.057,77.1433333333333,"2009","11","6","0","0","1","0"
"262",2009-11-07,4.057,77.1433333333333,"2009","11","7","0","0","1","0"
"263",2009-11-08,4.057,77.1433333333333,"2009","11","8","0","0","1","0"
"264",2009-11-09,4.057,77.1433333333333,"2009","11","9","0","0","1","0"
"265",2009-11-10,4.057,77.1433333333333,"2009","11","10","0","0","1","0"
"266",2009-11-11,4.057,77.1433333333333,"2009","11","11","0","0","1","0"
"267",2009-11-12,4.057,77.1433333333333,"2009","11","12","0","0","1","0"
"268",2009-11-13,4.057,77.1433333333333,"2009","11","13","0","0","1","0"
"269",2009-11-14,4.057,77.1433333333333,"2009","11","14","0","0","1","0"
"270",2009-11-15,4.057,77.1433333333333,"2009","11","15","0","0","1","0"
"271",2009-11-16,4.057,77.1433333333333,"2009","11","16","0","0","1","0"
"272",2009-11-17,4.057,77.1433333333333,"2009","11","17","0","0","1","0"
"273",2009-11-18,4.057,77.1433333333333,"2009","11","18","0","0","1","0"
"274",2009-11-19,4.057,77.1433333333333,"2009","11","19","0","0","1","0"
"275",2009-11-20,4.057,77.245,"2009","11","20","0","0","1","0"
"276",2009-11-21,4.057,77.42,"2009","11","21","0","0","1","0"
"277",2009-11-22,4.057,77.5533333333333,"2009","11","22","0","0","1","0"
"278",2009-11-23,4.057,77.5533333333333,"2009","11","23","0","0","1","0"
"279",2009-11-24,4.057,77.5533333333333,"2009","11","24","0","0","1","0"
"280",2009-11-25,4.057,77.5533333333333,"2009","11","25","0","0","1","0"
"281",2009-11-26,4.057,77.5533333333333,"2009","11","26","0","0","1","0"
"282",2009-11-27,4.057,77.5533333333333,"2009","11","27","0","0","1","0"
"283",2009-11-28,4.057,77.5533333333333,"2009","11","28","0","0","1","0"
"284",2009-11-29,4.057,77.5533333333333,"2009","11","29","0","0","1","0"
"285",2009-11-30,4.057,77.5533333333333,"2009","11","30","0","0","1","0"
"286",2009-12-01,5.308,77.5533333333333,"2009","12","1","0","0","1","0"
"287",2009-12-02,5.308,77.5533333333333,"2009","12","2","0","0","1","0"
"288",2009-12-03,5.308,77.5533333333333,"2009","12","3","0","0","1","0"
"289",2009-12-04,5.308,77.5533333333333,"2009","12","4","0","0","1","0"
"290",2009-12-05,5.308,77.5533333333333,"2009","12","5","0","0","1","0"
"291",2009-12-06,5.308,77.5533333333333,"2009","12","6","0","0","1","0"
"292",2009-12-07,5.308,77.5533333333333,"2009","12","7","0","0","1","0"
"293",2009-12-08,5.308,77.5533333333333,"2009","12","8","0","0","1","0"
"294",2009-12-09,5.308,77.5533333333333,"2009","12","9","0","0","1","0"
"295",2009-12-10,5.308,77.5533333333333,"2009","12","10","0","0","1","0"
"296",2009-12-11,5.308,77.5533333333333,"2009","12","11","0","0","1","0"
"297",2009-12-12,5.308,77.5533333333333,"2009","12","12","0","0","1","0"
"298",2009-12-13,5.308,77.5533333333333,"2009","12","13","0","0","1","0"
"299",2009-12-14,5.308,77.5533333333333,"2009","12","14","0","0","1","0"
"300",2009-12-15,5.308,77.5533333333333,"2009","12","15","0","0","1","0"
"301",2009-12-16,5.308,77.55,"2009","12","16","0","0","1","0"
