"","Date","Rainfall_Settefrati","Temperature_Settefrati","fl_rate.Ls","Year","Month","Day","Spring","Summer","Autumn","Winter","snow.yes","snow.no","Y_m","Semester","Quarters","Trimonthly","Fl_rate.Tri","Fl_rate.Quar","Fl_rate.Sem","lag1","lag3","lag5","lag7","lag9"
"1",2015-03-13,0,5.7,255.956525,"2015","3","13","0","0","0","1","0","1",2015-03-13,2015.1,2015.1,"2015-04-01",276.232280921538,281.008348078947,275.335897788619,NA,NA,NA,NA,NA
"2",2015-03-14,5.8,7.1,289.5455614,"2015","3","14","0","0","0","1","0","1",2015-03-14,2015.1,2015.1,"2015-04-01",276.232280921538,281.008348078947,275.335897788619,0,NA,NA,NA,NA
"3",2015-03-15,7.4,4.9,289.9186152,"2015","3","15","0","0","0","1","0","1",2015-03-15,2015.1,2015.1,"2015-04-01",276.232280921538,281.008348078947,275.335897788619,5.8,NA,NA,NA,NA
"4",2015-03-16,8.6,7.5,290.0828956,"2015","3","16","0","0","0","1","0","1",2015-03-16,2015.1,2015.1,"2015-04-01",276.232280921538,281.008348078947,275.335897788619,7.4,0,NA,NA,NA
"5",2015-03-17,7.6,7.55,290.6887766,"2015","3","17","0","0","0","1","0","1",2015-03-17,2015.1,2015.1,"2015-04-01",276.232280921538,281.008348078947,275.335897788619,8.6,5.8,NA,NA,NA
"6",2015-03-18,0,8.4,285.417723,"2015","3","18","0","0","0","1","0","1",2015-03-18,2015.1,2015.1,"2015-04-01",276.232280921538,281.008348078947,275.335897788619,7.6,7.4,0,NA,NA
"7",2015-03-19,0,9.75,282.2443597,"2015","3","19","0","0","0","1","0","1",2015-03-19,2015.1,2015.1,"2015-04-01",276.232280921538,281.008348078947,275.335897788619,0,8.6,5.8,NA,NA
"8",2015-03-20,0,8.7,283.4899183,"2015","3","20","0","0","0","1","0","1",2015-03-20,2015.1,2015.1,"2015-04-01",276.232280921538,281.008348078947,275.335897788619,0,7.6,7.4,0,NA
"9",2015-03-21,0,7.95,283.9203937,"2015","3","21","1","0","0","0","0","1",2015-03-21,2015.1,2015.1,"2015-04-01",276.232280921538,281.008348078947,275.335897788619,0,0,8.6,5.8,NA
"10",2015-03-22,0.8,6.55,284.3272472,"2015","3","22","1","0","0","0","0","1",2015-03-22,2015.1,2015.1,"2015-04-01",276.232280921538,281.008348078947,275.335897788619,0,0,7.6,7.4,0
"11",2015-03-23,0,9.15,284.5879713,"2015","3","23","1","0","0","0","0","1",2015-03-23,2015.1,2015.1,"2015-04-01",276.232280921538,281.008348078947,275.335897788619,0.8,0,0,8.6,5.8
"12",2015-03-24,0,12.15,284.1688699,"2015","3","24","1","0","0","0","0","1",2015-03-24,2015.1,2015.1,"2015-04-01",276.232280921538,281.008348078947,275.335897788619,0,0,0,7.6,7.4
