"","Date","Rainfall_S_Piero","Rainfall_Mangona","Rainfall_S_Agata","Rainfall_Cavallina","Rainfall_Le_Croci","Temperature_Le_Croci","Lake_Level","Flow_Rate","Season","Rainfall_mean","Year","Month","Day","Spring","Summer","Autumn","Winter","snow.yes","snow.no","Y_m","Semester","Quarters","Trimonthly","Fl_rate.Tri","Fl_rate.Quar","Fl_rate.Sem","lag1","lag3","lag5","lag7","rain1","seq.rain.val"
"1",2004-01-02,0,0,0,0,0,6.5,251.21,0.5,"Winter",0,"2004","1","2","0","0","0","1","0","1",2004-01-02,2004.1,1,"2004-01-01",5.90666666666667,2.77820414937759,5.80994475138122,NA,NA,NA,NA,0,1
"2",2004-01-03,0,0,0,0,0,4.45,251.28,0.5,"Winter",0,"2004","1","3","0","0","0","1","0","1",2004-01-03,2004.1,1,"2004-01-01",5.90666666666667,2.77820414937759,5.80994475138122,0,NA,NA,NA,0,2
"3",2004-01-04,0,0,0,0,0,2,251.35,0.5,"Winter",0,"2004","1","4","0","0","0","1","0","1",2004-01-04,2004.1,1,"2004-01-01",5.90666666666667,2.77820414937759,5.80994475138122,0,NA,NA,NA,0,3
"4",2004-01-05,0.2,0,0,0,0,0.9,251.37,0.5,"Winter",0.04,"2004","1","5","0","0","0","1","0","1",2004-01-05,2004.1,1,"2004-01-01",5.90666666666667,2.77820414937759,5.80994475138122,0,0,NA,NA,0,4
"5",2004-01-06,0,0,0,0,0,2.25,251.42,0.5,"Winter",0,"2004","1","6","0","0","0","1","0","1",2004-01-06,2004.1,1,"2004-01-01",5.90666666666667,2.77820414937759,5.80994475138122,0,0,NA,NA,0,5
"6",2004-01-07,0,0,0,0,0,3.65,251.43,0.5,"Winter",0,"2004","1","7","0","0","0","1","0","1",2004-01-07,2004.1,1,"2004-01-01",5.90666666666667,2.77820414937759,5.80994475138122,0,0,0,NA,0,6
"7",2004-01-08,0,0.8,0,0,0,3.35,251.45,0.5,"Winter",0.16,"2004","1","8","0","0","0","1","0","1",2004-01-08,2004.1,1,"2004-01-01",5.90666666666667,2.77820414937759,5.80994475138122,0,0,0,NA,0,7
"8",2004-01-09,4.6,5.8,3.8,5.6,7.8,5.55,251.49,0.5,"Winter",5.52,"2004","1","9","0","0","0","1","0","0",2004-01-09,2004.1,1,"2004-01-01",5.90666666666667,2.77820414937759,5.80994475138122,0,0,0,0,7.8,1
"9",2004-01-10,0,0,0,0,0,6.1,251.52,0.5,"Winter",0,"2004","1","10","0","0","0","1","0","1",2004-01-10,2004.1,1,"2004-01-01",5.90666666666667,2.77820414937759,5.80994475138122,7.8,0,0,0,0,1
"10",2004-01-11,0,0,0,0,0,6.25,251.53,0.5,"Winter",0,"2004","1","11","0","0","0","1","0","1",2004-01-11,2004.1,1,"2004-01-01",5.90666666666667,2.77820414937759,5.80994475138122,0,0,0,0,0,2
"11",2004-01-12,1.8,1.6,1.2,3.4,3.6,6.7,251.55,0.5,"Winter",2.32,"2004","1","12","0","0","0","1","0","0",2004-01-12,2004.1,1,"2004-01-01",5.90666666666667,2.77820414937759,5.80994475138122,0,7.8,0,0,3.6,1
"12",2004-01-13,0.4,2.6,0.8,1.2,0.6,8.6,251.58,0.5,"Winter",1.12,"2004","1","13","0","0","0","1","0","0",2004-01-13,2004.1,1,"2004-01-01",5.90666666666667,2.77820414937759,5.80994475138122,3.6,0,0,0,0.6,1
"13",2004-01-14,0,0.2,0,0,0,12.2,251.59,0.5,"Winter",0.04,"2004","1","14","0","0","0","1","0","1",2004-01-14,2004.1,1,"2004-01-01",5.90666666666667,2.77820414937759,5.80994475138122,0.6,0,7.8,0,0,1
"14",2004-01-15,7,13,10,8.8,6,9.1,251.64,0.5,"Winter",8.96,"2004","1","15","0","0","0","1","0","0",2004-01-15,2004.1,1,"2004-01-01",5.90666666666667,2.77820414937759,5.80994475138122,0,3.6,0,0,6,1
