"","Date","Rainfall_S_Piero","Rainfall_Mangona","Rainfall_S_Agata","Rainfall_Cavallina","Rainfall_Le_Croci","Temperature_Le_Croci","Lake_Level","Flow_Rate","Spring","Summer","Autumn","Winter","snow.yes","snow.no","lag1","lag3","lag5","lag7","lag9","rain4"
"1","2004-01-02",0,0,0,0,0,6.5,251.21,0.5,"0","0","0","0","0","1",NA,NA,NA,NA,NA,0
"2","2004-01-03",0,0,0,0,0,4.45,251.28,0.5,"0","0","0","0","0","1",0,NA,NA,NA,NA,0
"3","2004-01-04",0,0,0,0,0,2,251.35,0.5,"0","0","0","0","0","1",0,NA,NA,NA,NA,0
"4","2004-01-05",0.2,0,0,0,0,0.9,251.37,0.5,"0","0","0","0","0","1",0,0,NA,NA,NA,0
"5","2004-01-06",0,0,0,0,0,2.25,251.42,0.5,"0","0","0","0","0","1",0,0,NA,NA,NA,0
"6","2004-01-07",0,0,0,0,0,3.65,251.43,0.5,"0","0","0","0","0","1",0,0,0,NA,NA,0
"7","2004-01-08",0,0.8,0,0,0,3.35,251.45,0.5,"0","0","0","0","0","1",0,0,0,NA,NA,0
"8","2004-01-09",4.6,5.8,3.8,5.6,7.8,5.55,251.49,0.5,"0","0","0","0","0","0",0,0,0,0,NA,7.8
"9","2004-01-10",0,0,0,0,0,6.1,251.52,0.5,"0","0","0","0","0","1",7.8,0,0,0,NA,0
"10","2004-01-11",0,0,0,0,0,6.25,251.53,0.5,"0","0","0","0","0","1",0,0,0,0,0,0
"11","2004-01-12",1.8,1.6,1.2,3.4,3.6,6.7,251.55,0.5,"0","0","0","0","0","0",0,7.8,0,0,0,0
"12","2004-01-13",0.4,2.6,0.8,1.2,0.6,8.6,251.58,0.5,"0","0","0","0","0","0",0,0,0,0,0,0
"13","2004-01-14",0,0.2,0,0,0,12.2,251.59,0.5,"0","0","0","0","0","1",0,0,7.8,0,0,0
"14","2004-01-15",7,13,10,8.8,6,9.1,251.64,0.5,"0","0","0","0","0","0",0,0,0,0,0,6
"15","2004-01-16",3.2,11.4,4.6,5.6,4.4,5.45,251.7,0.5,"0","0","0","0","0","0",6,0,0,7.8,0,0
"16","2004-01-17",19.6,49.6,20.2,36.4,18.2,4.9,251.8,21.6,"0","0","0","0","0","0",0,0,0,0,0,18.2
"17","2004-01-18",27,40.2,26.6,25.2,24.8,8.35,252.32,32.8,"0","0","0","0","0","0",18.2,6,0,0,7.8,24.8
"18","2004-01-19",0,0,0,0.2,0,5.55,252.21,37,"0","0","0","0","0","1",24.8,0,0,0,0,0
"19","2004-01-20",0.2,0,0,0,0,3.15,252.05,19,"0","0","0","0","0","1",0,18.2,6,0,0,0
"20","2004-01-21",0,0,0,0,0,4.2,251.98,11.5,"0","0","0","0","0","1",0,24.8,0,0,3.6,0
"21","2004-01-22",0,0,0,0,0,4.25,251.91,8.5,"0","0","0","0","0","1",0,0,18.2,6,0.6,0
"22","2004-01-23",0,0,0,0,0,2.75,251.86,7,"0","0","0","0","0","1",0,0,24.8,0,0,0
"23","2004-01-24",0,0,0,0,0,2.4,251.82,6,"0","0","0","0","0","1",0,0,0,18.2,6,0
"24","2004-01-25",0.2,2.2,0.6,1.2,1.8,1.9,251.81,6,"0","0","0","0","0","0",0,0,0,24.8,4.4,0
