"","Date","Rainfall_Settefrati","Temperature_Settefrati","fl_rate.Ls","Year","Month","Day","Spring","Summer","Autumn","Winter","snow.yes","snow.no","Y_m","Semester","Quarters","Trimonthly","Fl_rate.Tri","Fl_rate.Quar","Fl_rate.Sem","lag1","lag3","lag5","lag7","lag9","rain4"
"1",2015-03-13,0,5.7,255.956525,"2015","3","13","0","0","0","1","0","1",2015-03-13,2015.1,2015.1,"2015-04-01",276.232280921538,281.008348078947,275.335897788619,NA,NA,NA,NA,NA,0
"2",2015-03-14,5.8,7.1,289.5455614,"2015","3","14","0","0","0","1","0","1",2015-03-14,2015.1,2015.1,"2015-04-01",276.232280921538,281.008348078947,275.335897788619,0,NA,NA,NA,NA,5.8
"3",2015-03-15,7.4,4.9,289.9186152,"2015","3","15","0","0","0","1","0","1",2015-03-15,2015.1,2015.1,"2015-04-01",276.232280921538,281.008348078947,275.335897788619,5.8,NA,NA,NA,NA,7.4
"4",2015-03-16,8.6,7.5,290.0828956,"2015","3","16","0","0","0","1","0","1",2015-03-16,2015.1,2015.1,"2015-04-01",276.232280921538,281.008348078947,275.335897788619,7.4,0,NA,NA,NA,8.6
"5",2015-03-17,7.6,7.55,290.6887766,"2015","3","17","0","0","0","1","0","1",2015-03-17,2015.1,2015.1,"2015-04-01",276.232280921538,281.008348078947,275.335897788619,8.6,5.8,NA,NA,NA,7.6
"6",2015-03-18,0,8.4,285.417723,"2015","3","18","0","0","0","1","0","1",2015-03-18,2015.1,2015.1,"2015-04-01",276.232280921538,281.008348078947,275.335897788619,7.6,7.4,0,NA,NA,0
"7",2015-03-19,0,9.75,282.2443597,"2015","3","19","0","0","0","1","0","1",2015-03-19,2015.1,2015.1,"2015-04-01",276.232280921538,281.008348078947,275.335897788619,0,8.6,5.8,NA,NA,0
"8",2015-03-20,0,8.7,283.4899183,"2015","3","20","0","0","0","1","0","1",2015-03-20,2015.1,2015.1,"2015-04-01",276.232280921538,281.008348078947,275.335897788619,0,7.6,7.4,0,NA,0
"9",2015-03-21,0,7.95,283.9203937,"2015","3","21","1","0","0","0","0","1",2015-03-21,2015.1,2015.1,"2015-04-01",276.232280921538,281.008348078947,275.335897788619,0,0,8.6,5.8,NA,0
"10",2015-03-22,0.8,6.55,284.3272472,"2015","3","22","1","0","0","0","0","1",2015-03-22,2015.1,2015.1,"2015-04-01",276.232280921538,281.008348078947,275.335897788619,0,0,7.6,7.4,0,0
"11",2015-03-23,0,9.15,284.5879713,"2015","3","23","1","0","0","0","0","1",2015-03-23,2015.1,2015.1,"2015-04-01",276.232280921538,281.008348078947,275.335897788619,0,0,0,8.6,5.8,0
"12",2015-03-24,0,12.15,284.1688699,"2015","3","24","1","0","0","0","0","1",2015-03-24,2015.1,2015.1,"2015-04-01",276.232280921538,281.008348078947,275.335897788619,0,0,0,7.6,7.4,0
"13",2015-03-25,37.3,10.25,282.4008892,"2015","3","25","1","0","0","0","0","1",2015-03-25,2015.1,2015.1,"2015-04-01",276.232280921538,281.008348078947,275.335897788619,0,0,0,0,8.6,37.3
"14",2015-03-26,6,13.35,275.9375031,"2015","3","26","1","0","0","0","0","1",2015-03-26,2015.1,2015.1,"2015-04-01",276.232280921538,281.008348078947,275.335897788619,37.3,0,0,0,7.6,6
"15",2015-03-27,10.8,12,273.9198491,"2015","3","27","1","0","0","0","0","1",2015-03-27,2015.1,2015.1,"2015-04-01",276.232280921538,281.008348078947,275.335897788619,6,0,0,0,0,10.8
"16",2015-03-28,0,9.5,273.939755,"2015","3","28","1","0","0","0","0","1",2015-03-28,2015.1,2015.1,"2015-04-01",276.232280921538,281.008348078947,275.335897788619,10.8,37.3,0,0,0,0
"17",2015-03-29,0,9.6,273.6624202,"2015","3","29","1","0","0","0","0","1",2015-03-29,2015.1,2015.1,"2015-04-01",276.232280921538,281.008348078947,275.335897788619,0,6,0,0,0,0
"18",2015-03-30,0,10.6,278.0547162,"2015","3","30","1","0","0","0","0","1",2015-03-30,2015.1,2015.1,"2015-04-01",276.232280921538,281.008348078947,275.335897788619,0,10.8,37.3,0,0,0
"19",2015-03-31,0,13.35,276.8946238,"2015","3","31","1","0","0","0","0","1",2015-03-31,2015.1,2015.1,"2015-04-01",276.232280921538,281.008348078947,275.335897788619,0,0,6,0,0,0
"20",2015-04-01,0,12.05,275.0547686,"2015","4","1","1","0","0","0","0","1",2015-04-01,2015.1,2015.2,"2015-04-01",276.232280921538,274.151540035693,275.335897788619,0,0,10.8,37.3,0,0
"21",2015-04-02,0,11,273.9272583,"2015","4","2","1","0","0","0","0","1",2015-04-02,2015.1,2015.2,"2015-04-01",276.232280921538,274.151540035693,275.335897788619,0,0,0,6,0,0
"22",2015-04-03,0,9.45,273.877707,"2015","4","3","1","0","0","0","0","1",2015-04-03,2015.1,2015.2,"2015-04-01",276.232280921538,274.151540035693,275.335897788619,0,0,0,10.8,37.3,0
"23",2015-04-04,12.3,7.65,273.9227575,"2015","4","4","1","0","0","0","0","1",2015-04-04,2015.1,2015.2,"2015-04-01",276.232280921538,274.151540035693,275.335897788619,0,0,0,0,6,12.3
"24",2015-04-05,9.2,5.85,273.5561175,"2015","4","5","1","0","0","0","0","1",2015-04-05,2015.1,2015.2,"2015-04-01",276.232280921538,274.151540035693,275.335897788619,12.3,0,0,0,10.8,9.2
"25",2015-04-06,0,5.3,273.8512721,"2015","4","6","1","0","0","0","0","1",2015-04-06,2015.1,2015.2,"2015-04-01",276.232280921538,274.151540035693,275.335897788619,9.2,0,0,0,0,0
"26",2015-04-07,0,3.9,273.6301476,"2015","4","7","1","0","0","0","0","1",2015-04-07,2015.1,2015.2,"2015-04-01",276.232280921538,274.151540035693,275.335897788619,0,12.3,0,0,0,0
"27",2015-04-08,0,5.8,273.4032263,"2015","4","8","1","0","0","0","0","1",2015-04-08,2015.1,2015.2,"2015-04-01",276.232280921538,274.151540035693,275.335897788619,0,9.2,0,0,0,0
"28",2015-04-09,0,9.35,261.8903418,"2015","4","9","1","0","0","0","0","1",2015-04-09,2015.1,2015.2,"2015-04-01",276.232280921538,274.151540035693,275.335897788619,0,0,12.3,0,0,0
"29",2015-04-10,0,10.8,277.0050769,"2015","4","10","1","0","0","0","0","1",2015-04-10,2015.1,2015.2,"2015-04-01",276.232280921538,274.151540035693,275.335897788619,0,0,9.2,0,0,0
"30",2015-04-11,0,10.45,276.7164202,"2015","4","11","1","0","0","0","0","1",2015-04-11,2015.1,2015.2,"2015-04-01",276.232280921538,274.151540035693,275.335897788619,0,0,0,12.3,0,0
"31",2015-04-12,0,11.7,276.891222,"2015","4","12","1","0","0","0","0","1",2015-04-12,2015.1,2015.2,"2015-04-01",276.232280921538,274.151540035693,275.335897788619,0,0,0,9.2,0,0
"32",2015-04-13,0,13.75,276.8846717,"2015","4","13","1","0","0","0","0","1",2015-04-13,2015.1,2015.2,"2015-04-01",276.232280921538,274.151540035693,275.335897788619,0,0,0,0,12.3,0
"33",2015-04-14,0.4,14.6,274.9528374,"2015","4","14","1","0","0","0","0","1",2015-04-14,2015.1,2015.2,"2015-04-01",276.232280921538,274.151540035693,275.335897788619,0,0,0,0,9.2,0
"34",2015-04-15,0,15.25,273.6325181,"2015","4","15","1","0","0","0","0","1",2015-04-15,2015.1,2015.2,"2015-04-01",276.232280921538,274.151540035693,275.335897788619,0,0,0,0,0,0
"35",2015-04-16,0,14.9,273.6284511,"2015","4","16","1","0","0","0","0","1",2015-04-16,2015.1,2015.2,"2015-04-01",276.232280921538,274.151540035693,275.335897788619,0,0,0,0,0,0
"36",2015-04-17,0.2,14.35,273.8138785,"2015","4","17","1","0","0","0","0","1",2015-04-17,2015.1,2015.2,"2015-04-01",276.232280921538,274.151540035693,275.335897788619,0,0,0,0,0,0
"37",2015-04-18,0,12.8,273.90091,"2015","4","18","1","0","0","0","0","1",2015-04-18,2015.1,2015.2,"2015-04-01",276.232280921538,274.151540035693,275.335897788619,0,0,0,0,0,0
"38",2015-04-19,1.4,13.25,274.1168694,"2015","4","19","1","0","0","0","0","1",2015-04-19,2015.1,2015.2,"2015-04-01",276.232280921538,274.151540035693,275.335897788619,0,0,0,0,0,0
"39",2015-04-20,0.2,11.8,274.1432099,"2015","4","20","1","0","0","0","0","1",2015-04-20,2015.1,2015.2,"2015-04-01",276.232280921538,274.151540035693,275.335897788619,0,0,0,0,0,0
"40",2015-04-21,0,12.5,273.9929837,"2015","4","21","1","0","0","0","0","1",2015-04-21,2015.1,2015.2,"2015-04-01",276.232280921538,274.151540035693,275.335897788619,0,0,0,0,0,0
"41",2015-04-22,0,14.6,274.1490757,"2015","4","22","1","0","0","0","0","1",2015-04-22,2015.1,2015.2,"2015-04-01",276.232280921538,274.151540035693,275.335897788619,0,0,0,0,0,0
"42",2015-04-23,0,14.1,274.2687412,"2015","4","23","1","0","0","0","0","1",2015-04-23,2015.1,2015.2,"2015-04-01",276.232280921538,274.151540035693,275.335897788619,0,0,0,0,0,0
"43",2015-04-24,0.2,14.9,274.1271984,"2015","4","24","1","0","0","0","0","1",2015-04-24,2015.1,2015.2,"2015-04-01",276.232280921538,274.151540035693,275.335897788619,0,0,0,0,0,0
"44",2015-04-25,0.6,14.15,274.2048533,"2015","4","25","1","0","0","0","0","1",2015-04-25,2015.1,2015.2,"2015-04-01",276.232280921538,274.151540035693,275.335897788619,0,0,0,0,0,0
"45",2015-04-26,0,14.95,274.2385741,"2015","4","26","1","0","0","0","0","1",2015-04-26,2015.1,2015.2,"2015-04-01",276.232280921538,274.151540035693,275.335897788619,0,0,0,0,0,0
"46",2015-04-27,14,11.95,274.2566337,"2015","4","27","1","0","0","0","0","1",2015-04-27,2015.1,2015.2,"2015-04-01",276.232280921538,274.151540035693,275.335897788619,0,0,0,0,0,14
"47",2015-04-28,8.2,10.2,274.1222673,"2015","4","28","1","0","0","0","0","1",2015-04-28,2015.1,2015.2,"2015-04-01",276.232280921538,274.151540035693,275.335897788619,14,0,0,0,0,8.2
"48",2015-04-29,8.2,12.1,274.3879241,"2015","4","29","1","0","0","0","0","1",2015-04-29,2015.1,2015.2,"2015-04-01",276.232280921538,274.151540035693,275.335897788619,8.2,0,0,0,0,8.2
"49",2015-04-30,18.8,11.4,274.4474021,"2015","4","30","1","0","0","0","0","1",2015-04-30,2015.1,2015.2,"2015-04-01",276.232280921538,274.151540035693,275.335897788619,8.2,14,0,0,0,18.8
"50",2015-05-01,0,12.4,274.5162938,"2015","5","1","1","0","0","0","0","1",2015-05-01,2015.1,2015.2,"2015-04-01",276.232280921538,274.151540035693,275.335897788619,18.8,8.2,0,0,0,0
"51",2015-05-02,0,14.5,274.5120852,"2015","5","2","1","0","0","0","0","1",2015-05-02,2015.1,2015.2,"2015-04-01",276.232280921538,274.151540035693,275.335897788619,0,8.2,14,0,0,0
"52",2015-05-03,0,15.7,274.5641337,"2015","5","3","1","0","0","0","0","1",2015-05-03,2015.1,2015.2,"2015-04-01",276.232280921538,274.151540035693,275.335897788619,0,18.8,8.2,0,0,0
"53",2015-05-04,0,19.6,274.6890818,"2015","5","4","1","0","0","0","0","1",2015-05-04,2015.1,2015.2,"2015-04-01",276.232280921538,274.151540035693,275.335897788619,0,0,8.2,14,0,0
"54",2015-05-05,0,21.8,274.6811391,"2015","5","5","1","0","0","0","0","1",2015-05-05,2015.1,2015.2,"2015-04-01",276.232280921538,274.151540035693,275.335897788619,0,0,18.8,8.2,0,0
"55",2015-05-06,0.2,22.85,274.6076082,"2015","5","6","1","0","0","0","0","1",2015-05-06,2015.1,2015.2,"2015-04-01",276.232280921538,274.151540035693,275.335897788619,0,0,0,8.2,14,0
"56",2015-05-07,0,21.1,274.6448834,"2015","5","7","1","0","0","0","0","1",2015-05-07,2015.1,2015.2,"2015-04-01",276.232280921538,274.151540035693,275.335897788619,0,0,0,18.8,8.2,0
"57",2015-05-08,0,18.9,274.7271288,"2015","5","8","1","0","0","0","0","1",2015-05-08,2015.1,2015.2,"2015-04-01",276.232280921538,274.151540035693,275.335897788619,0,0,0,0,8.2,0
"58",2015-05-09,8.5,17.55,274.739544,"2015","5","9","1","0","0","0","0","1",2015-05-09,2015.1,2015.2,"2015-04-01",276.232280921538,274.151540035693,275.335897788619,0,0,0,0,18.8,8.5
"59",2015-05-10,0,17.6,274.8317938,"2015","5","10","1","0","0","0","0","1",2015-05-10,2015.1,2015.2,"2015-04-01",276.232280921538,274.151540035693,275.335897788619,8.5,0,0,0,0,0
"60",2015-05-11,0,17.6,274.695843,"2015","5","11","1","0","0","0","0","1",2015-05-11,2015.1,2015.2,"2015-04-01",276.232280921538,274.151540035693,275.335897788619,0,0,0,0,0,0
"61",2015-05-12,0,17.2,274.8093921,"2015","5","12","1","0","0","0","0","1",2015-05-12,2015.1,2015.2,"2015-04-01",276.232280921538,274.151540035693,275.335897788619,0,8.5,0,0,0,0
"62",2015-05-13,0,18.35,274.7552104,"2015","5","13","1","0","0","0","0","1",2015-05-13,2015.1,2015.2,"2015-04-01",276.232280921538,274.151540035693,275.335897788619,0,0,0,0,0,0
"63",2015-05-14,0,17.45,274.8586989,"2015","5","14","1","0","0","0","0","1",2015-05-14,2015.1,2015.2,"2015-04-01",276.232280921538,274.151540035693,275.335897788619,0,0,8.5,0,0,0
"64",2015-05-15,0,17.3,274.7366045,"2015","5","15","1","0","0","0","0","1",2015-05-15,2015.1,2015.2,"2015-04-01",276.232280921538,274.151540035693,275.335897788619,0,0,0,0,0,0
"65",2015-05-16,9.2,15.5,274.5748902,"2015","5","16","1","0","0","0","0","1",2015-05-16,2015.1,2015.2,"2015-04-01",276.232280921538,274.151540035693,275.335897788619,0,0,0,8.5,0,9.2
