"","Date","Rainfall_Simignano","Rainfall_Siena_Poggio_al_Vento","Rainfall_Mensano","Rainfall_Montalcinello","Rainfall_Monticiano_la_Pineta","Rainfall_Sovicille","Rainfall_Ponte_Orgia","Rainfall_Scorgiano","Rainfall_Pentolina","Rainfall_Monteroni_Arbia_Biena","Temperature_Siena_Poggio_al_Vento","Temperature_Mensano","Temperature_Pentolina","Temperature_Monteroni_Arbia_Biena","Volume_Pozzo_1","Volume_Pozzo_3","Volume_Pozzo_4","well","depth_to_gw.m"
"1",2017-09-01,13.6,NA,13.6,15.4,66.4,27.4,80.4,7.6,66.2,31.2,0,22.15,21.8,23.75,-205.0512,-214.5216,-216.60672,"Pozzo_1",-10.7
"2",2017-09-02,0,NA,0,0,0,0.2,0,0,0,0,0,17.5,17.2,19.8,-205.0512,-214.5216,-216.60672,"Pozzo_1",-10.7
"3",2017-09-03,6.4,NA,9.6,4.4,1,6.8,0.8,3.2,1.8,0.8,0,16.85,16.5,18.05,-194.79864,-203.79552,-205.776384,"Pozzo_1",-10.9
"4",2017-09-04,0,NA,0,0,0,0,0,0,0,0,0,19.05,18.25,18.55,-205.0512,-214.5216,-216.60672,"Pozzo_1",-10.8
"5",2017-09-05,0,NA,0,0,0,0,0,0,0,0,0,20.65,20.2,21.05,-205.0512,-214.5216,-216.60672,"Pozzo_1",-10.7
"6",2017-09-06,0,NA,0,0,0,0,0,0,0,0,0,20.8,20.25,20.75,-205.0512,-214.5216,-216.60672,"Pozzo_1",-10.7
"7",2017-09-07,0,NA,0,0,0,0,0,0,0,0,0,22.1,21.85,23.15,-205.0512,-214.5216,-216.60672,"Pozzo_1",-10.7
"8",2017-09-08,8.6,NA,1.6,0.2,0,9.4,0,34.2,1.4,0,0,20.8,20.4,21.5,-205.0512,-214.5216,-216.60672,"Pozzo_1",-10.8
"9",2017-09-09,0.2,NA,1.2,3.6,0.2,0.2,0.2,0.2,0.4,0,0,19.45,19.25,20.1,-205.0512,-214.5216,-216.60672,"Pozzo_1",-10.8
"10",2017-09-10,29.6,NA,41.8,15.8,0.2,80.6,6.8,33.8,60.2,0.4,0,17.65,17.75,20.3,-194.79864,-203.79552,-205.776384,"Pozzo_1",-10.7
"11",2017-09-11,3.8,NA,0.8,1.6,13,6.6,4.2,3.4,10,2.4,0,18.9,18.3,20.55,-205.0512,-214.5216,-216.60672,"Pozzo_1",-11
"12",2017-09-12,0.4,NA,0.8,0,0,0,0,0,0,0.4,0,18.1,17.95,18.8,-205.0512,-214.5216,-216.60672,"Pozzo_1",-10.9
"13",2017-09-13,0,NA,0,0,0,0.2,0.2,0,0,0,0,18.6,17.85,18.05,-205.0512,-214.5216,-216.60672,"Pozzo_1",-10.8
"14",2017-09-14,0,NA,0,0,0.2,0.2,0,0.2,0,0,0,19.4,18.3,19.6,-205.0512,-214.5216,-216.60672,"Pozzo_1",-10.7
"15",2017-09-15,0,NA,0,0,0,0,0,0,0,0,0,20.9,20.05,20.45,-205.0512,-214.5216,-216.60672,"Pozzo_1",-10.7
"16",2017-09-16,47,NA,19,34.8,32.4,29.2,52,19.8,23.6,15,0,16.7,16.25,18,-205.0512,-214.5216,-216.60672,"Pozzo_1",-10.6
"17",2017-09-17,5,NA,4.2,4.4,8.8,5,5.8,3,7.4,6.6,0,15.9,15.35,17.3,-194.79864,-203.79552,-205.776384,"Pozzo_1",-10.8
"18",2017-09-18,0,NA,0.2,0.2,0,0,0,0,0,0,0,17.2,16.3,16.95,-205.0512,-214.5216,-216.60672,"Pozzo_1",-10.7
"19",2017-09-19,12.4,NA,14.6,9,14.4,8,14.2,11.8,13,18.6,0,13.65,13.3,15.9,-205.0512,-214.5216,-216.60672,"Pozzo_1",-10.5
"20",2017-09-20,3.2,NA,17,21.6,9.6,3.8,10.8,1.6,17,1.2,0,14.35,13.65,16.15,-205.0512,-214.5216,-216.60672,"Pozzo_1",-10.8
"21",2017-09-21,0,NA,0,0,0.2,0.2,0.2,0,0,0.2,0,15.55,14.65,14.85,-205.0512,-214.5216,-216.60672,"Pozzo_1",-10.8
"22",2017-09-22,0.2,NA,0,0,0,0,0.2,0,0,0.2,0,16.2,15.55,15.1,-205.0512,-214.5216,-216.60672,"Pozzo_1",-10.7
"23",2017-09-23,0,NA,0,0,0.2,0.2,0.2,0,0.2,0,0,17.75,16,16.3,-205.0512,-214.5216,-216.60672,"Pozzo_1",-10.7
"24",2017-09-24,0,NA,0.2,0,0.2,0,0,0,0.4,0.2,0,15.15,14.2,15.05,-194.79864,-203.79552,-205.776384,"Pozzo_1",-10.6
"25",2017-09-25,3.8,NA,6.6,1.2,1.6,2.6,3.2,2,3.8,0.2,0,15.85,15.6,17.15,-205.0512,-214.5216,-216.60672,"Pozzo_1",-10.8
